sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text
1,Le Seigneur des Anneaux,,,1,1,2,Le seigneur des anneaux Page 1 sur 1
2,Le Seigneur des Anneaux,,,1,1,2,PREMIERE
3,Le Seigneur des Anneaux,,,1,1,2,PARTIE
4,Le Seigneur des Anneaux,,,1,1,2,Livre I
5,Le Seigneur des Anneaux,,,1,1,2,La communauté de l'anneau J. R. R. TOLKIEN
6,Le Seigneur des Anneaux,,,1,1,2,LE SEIGNEUR DES ANNEAUX
7,Le Seigneur des Anneaux,,,1,1,2,La Communauté de l'anneau
8,Le Seigneur des Anneaux,,,1,1,2,Les Deux Tours
9,Le Seigneur des Anneaux,,,1,1,2,Le Retour du roi Édition complète avec Appendices et Index
10,Le Seigneur des Anneaux,,,1,1,2,Le seigneur des anneaux Page 2 sur 2
11,Le Seigneur des Anneaux,,,1,1,2,PREMIERE PARTIE
12,Le Seigneur des Anneaux,,,1,1,2,Livre I
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,"
14,Le Seigneur des Anneaux,,,1,1,2,Un pour le Seigneur des Ténèbres sur son sombre trône Dans le Pays de Mordor où s'étendent les Ombres.
15,Le Seigneur des Anneaux,,,1,1,2,"Un Anneau pour les gouverner tous, Un Anneau pour les trouver, Un Anneau pour les amener tous et dans les ténèbres les lier Au Pays de Mordor où s'étendent les Ombres."
16,Le Seigneur des Anneaux,,,3,3,5,Le seigneur des anneaux Page 3 sur 3
17,Le Seigneur des Anneaux,,,3,3,5,PREMIERE
18,Le Seigneur des Anneaux,,,3,3,5,PARTIE
19,Le Seigneur des Anneaux,,,3,3,5,Livre I
20,Le Seigneur des Anneaux,,,3,3,5,La communauté de l'anneau Le seigneur des anneaux Page 4 sur 4 PREMIERE
21,Le Seigneur des Anneaux,,,3,3,5,PARTIE
22,Le Seigneur des Anneaux,,,3,3,5,Livre I
23,Le Seigneur des Anneaux,,,3,3,5,La communauté de l'anneau I DES HOBBITS
24,Le Seigneur des Anneaux,,,3,3,5,"Ce livre traite dans une large mesure des Hobbits, et le lecteur découvrira dans ses pages une bonne part de leur caractère et un peu de leur histoire."
25,Le Seigneur des Anneaux,,,3,3,5,On pourra trouver d'autres renseignements dans les extraits du Livre Rouge de la Marche de l'Ouest déjà publiés sous le titre: Le Hobbit.
26,Le Seigneur des Anneaux,,,3,3,5,"La présente histoire a pour origine les premiers chapitres du Livre Rouge composé par Bilbon lui-même, premier Hobbit à devenir fameux dans le monde entier, il leur donna pour titre:"
27,Le Seigneur des Anneaux,,,3,3,5,"Histoire d'un aller et retour,"
28,Le Seigneur des Anneaux,,,3,3,5,"puisqu'ils traitaient de son voyage dans l'Est et de son retour, Aventure qui devait engager tous les Hobbits dans les importants événements de cet Age, ici rapportés."
29,Le Seigneur des Anneaux,,,3,3,5,"Mais maints lecteurs voudront sans doute en savoir dès l'abord davantage sur ce peuple remarquable, certains peuvent aussi ne point posséder le premier livre."
30,Le Seigneur des Anneaux,,,3,3,5,"A l'intention de telles personnes, nous réunissons ici quelques notes sur les points les plus importants de la tradition hobbite, et nous rappelons brièvement la première aventure."
31,Le Seigneur des Anneaux,,,3,3,5,"Les Hobbits sont un peuple effacé mais très ancien, qui fut plus nombreux dans l'ancien temps que de nos jours, car ils aiment la paix, la tranquillité et une terre bien cultivée: une campagne bien ordonnée et bien mise en valeur était leur retraite favorite."
32,Le Seigneur des Anneaux,,,3,3,5,"Ils ne comprennent ni ne comprenaient, et ils n'aiment pas davantage les machines dont la complication dépasse celle d'un soufflet de forge, d'un moulin à eau ou d'un métier à tisser manuel, encore qu'ils fussent habiles au maniement des outils."
33,Le Seigneur des Anneaux,,,3,3,5,"Même dans l'ancien temps, ils se méfiaient des «Grandes Gens», comme ils nous appellent, et à présent où ils nous évitent avec effroi, il devient difficile de les trouver."
34,Le Seigneur des Anneaux,,,3,3,5,"Ils ont l'oreille fine et l'œil vif, et s'ils ont tendance à l'embonpoint et ne se pressent pas sans nécessité, ils n'en sont pas moins lestes et adroits dans leurs mouvements."
35,Le Seigneur des Anneaux,,,3,3,5,"Ils ont toujours eu l'art de disparaître vivement et en silence quand des Grandes Gens qu'ils ne désirent pas rencontrer viennent par hasard de leur côté, et cet art, ils l'ont développé au point qu'aux Hommes il pourrait paraître magique."
36,Le Seigneur des Anneaux,,,3,3,5,"Mais les Hobbits n'ont en fait jamais étudié de magie d'aucune sorte, et leur caractère insaisissable est dû uniquement à une habileté professionnelle que l'hérédité et la pratique, ainsi qu'une amitié intime avec la terre, ont rendue inimitable pour les races plus grandes et plus lourdes."
37,Le Seigneur des Anneaux,,,3,3,5,"Car ce sont de petites personnes, plus menues que les nains: ils sont moins gros et trapus, disons, même s'ils ne sont pas vraiment beaucoup plus courts."
38,Le Seigneur des Anneaux,,,3,3,5,"Leur taille est variable et va de 60 cm à 1,20 m selon notre mesure."
39,Le Seigneur des Anneaux,,,3,3,5,"Aujourd'hui, ils atteignent rarement 90 cm, mais ils ont diminué, disent-ils, et dans l'ancien temps ils étaient plus grands."
40,Le Seigneur des Anneaux,,,3,3,5,"D'après le Livre Rouge, Bandobras Touque (Le Taureau mugissant), cils d'Isengrin II, mesurait 1,40 m et il était capable de monter à cheval."
41,Le Seigneur des Anneaux,,,3,3,5,"Il ne fut dépassé dans toutes les annales hobbites que par deux personnages fameux de l'ancien temps, mais il sera traité de ce curieux sujet dans le présent livre."
42,Le Seigneur des Anneaux,,,3,3,5,"Quant aux Hobbits de la Comté, dont il s'agit dans ces récits, ils étaient, du temps de leur paix et de leur prospérité, de joyeuses gens."
43,Le Seigneur des Anneaux,,,3,3,5,"Ils se vêtaient de couleurs vives et affectionnaient particulièrement le jaune et le vert, mais ils portaient rarement des chaussures, leurs pieds ayant la plante dure comme du cuir et étant revêtu d'un épais poil frisé, très semblable à leur chevelure, communément brune."
44,Le Seigneur des Anneaux,,,3,3,5,"Ainsi le seul métier manuel qui fût peu en honneur chez eux était-il la cordonnerie, mais ils avaient les doigts longs et habiles, et ils savaient fabriquer bien d'autres objets utiles et agréables à l'œil."
45,Le Seigneur des Anneaux,,,3,3,5,"Leur visage était en règle générale plus aimable que beau large, avec les yeux brillants, les joues rouges et la bouche toute prête au rire, au manger et au boire."
46,Le Seigneur des Anneaux,,,3,3,5,"Et, pour ce qui était de rire, de manger et de boire, ils le faisaient bien, souvent et cordialement, car ils aimaient les simples facéties en tout temps et six repas par jour (quand ils pouvaient les avoir) Ils étaient hospitaliers, et ils se plaisaient aux parties ainsi qu'aux cadeaux, qu'ils s'offraient avec libéralité et qu'ils acceptaient avidement."
47,Le Seigneur des Anneaux,,,3,3,5,"Il est clair qu'en dépit d'un éloignement ultérieur, les Hobbits nous sont apparentés: Ils sont beaucoup plus proches de nous que les Elfes ou même que les Nains."
48,Le Seigneur des Anneaux,,,3,3,5,"Ils parlaient autrefois la langue des hommes, à leur propre façon, et leurs goûts étaient très semblables à ceux des hommes dans leurs inclinations ou leurs aversions."
49,Le Seigneur des Anneaux,,,3,3,5,Mais il est impossible de découvrir aujourd'hui notre relation exacte.
50,Le Seigneur des Anneaux,,,3,3,5,"L'origine des Hobbits remonte très loin dans les temps anciens, maintenant perdus et oubliés."
51,Le Seigneur des Anneaux,,,3,3,5,Seuls les Le seigneur des anneaux Page 5 sur 5
52,Le Seigneur des Anneaux,,,3,3,5,PREMIERE
53,Le Seigneur des Anneaux,,,3,3,5,PARTIE
54,Le Seigneur des Anneaux,,,3,3,5,Livre I
55,Le Seigneur des Anneaux,,,3,3,5,"La communauté de l'anneau Elfes conservent encore des annales de cette époque évanouie, et leurs traditions ne concernent pratiquement que leur propre histoire, dans laquelle les Hommes apparaissent rarement et où il n'est fait aucune mention des Hobbits."
56,Le Seigneur des Anneaux,,,3,3,5,"Il est cependant clair que ceux-ci avaient, en fait, vécu tranquillement dans la Terre du Milieu durant de longues années avant que d'autres n'eussent même conscience de leur existence."
57,Le Seigneur des Anneaux,,,3,3,5,"Et le monde étant après tout rempli d'innombrables créatures étranges, ce petit peuple semblait de bien peu d'importance."
58,Le Seigneur des Anneaux,,,3,3,5,"Mais du temps de Bilbon et de son héritier Frodon, ils devinrent soudain, malgré eux, importants et renommés, et ils troublèrent les conseils des Sages et des Grands."
59,Le Seigneur des Anneaux,,,3,3,5,"Ces temps, le Tiers Age de la Terre du Milieu, sont du lointain passé, et la forme de toutes les terres a été modifiée, mais les régions où vivaient alors les Hobbits étaient sans doute celles où ils demeurent encore: Le Nord-ouest de l'Ancien Monde, à l'Est de la Mer."
60,Le Seigneur des Anneaux,,,3,3,5,"De leur pays original, les Hobbits du temps de Bilbon ne conservaient aucune connaissance."
61,Le Seigneur des Anneaux,,,3,3,5,"Le goût du savoir l'autre que la généalogie était peu prononcé parmi eux, mais il restait encore quelques membres des plus anciennes familles qui étudiaient leurs propres livres et même rassemblaient les documents des anciens temps et des terres lointaines auprès des Elfes, des Nains et des Hommes."
62,Le Seigneur des Anneaux,,,3,3,5,"Leurs propres archives ne remontaient qu'à l'établissement de la Comté, et leurs légendes les plus anciennes ne se reportaient pas au-delà du temps de leur odyssée."
63,Le Seigneur des Anneaux,,,3,3,5,"Il ressort néanmoins clairement de ces légendes et du témoignage de leurs paroles et coutumes particulières que, comme maints autres peuples, les Hobbits s'étaient dans un lointain passé déplacés vers l'Ouest."
64,Le Seigneur des Anneaux,,,3,3,5,"Leurs plus anciens récits semblent entrevoir un temps où ils demeuraient dans les vallées supérieures de l'Anduin, entre les saillants de Vertbois-le-Grand et les Monts Brumeux."
65,Le Seigneur des Anneaux,,,3,3,5,On ne sait plus avec certitude pour quelle raison ils entreprirent plus tard la dure et périlleuse traversée des montagnes et se rendirent en Ériador.
66,Le Seigneur des Anneaux,,,3,3,5,"Leurs propres récits parlent de la multiplication des Hommes dans le pays et d'une ombre tombée de la forêt, de sorte qu'elle devint ténébreuse et reçut le nouveau nom de Forêt Noire."
67,Le Seigneur des Anneaux,,,3,3,5,"Avant la traversée des montagnes, les Hobbits s'étaient déjà divisés en trois branches quelque peu différentes: Les Pieds velus, les Forts et les Pâles."
68,Le Seigneur des Anneaux,,,3,3,5,"Les Pieds velus étaient plus bruns de peau, plus petits et plus courts, ils n'avaient pas de barbe, et ils allaient sans chaussures, ils avaient les mains et les pieds agiles et lestes, ils préféraient les hautes terres et les collines."
69,Le Seigneur des Anneaux,,,3,3,5,"Les Forts étaient plus larges, de conformation plus lourde, leurs mains et leurs pieds étaient plus grands, ils préféraient les terrains plats et le bord des rivières."
70,Le Seigneur des Anneaux,,,3,3,5,"Les Pâles étaient plus clairs de peau et aussi de cheveux, et ils étaient plus grands et plus élancés que les autres, ils aimaient les arbres et les terrains boisés."
71,Le Seigneur des Anneaux,,,3,3,5,"Les Pieds velus eurent beaucoup de rapports avec les Nains dans les temps anciens, et ils vécurent longtemps sur les contreforts des montagnes."
72,Le Seigneur des Anneaux,,,3,3,5,"Ils émigrèrent de bonne heure dans l'Ouest et ils parcoururent l'eriador jusqu'au Mont Venteux, tandis que les autres étaient encore au Pays Sauvage."
73,Le Seigneur des Anneaux,,,3,3,5,"C'était la variété la plus normale et la plus représentative des Hobbits, de beaucoup la plus nombreuse."
74,Le Seigneur des Anneaux,,,3,3,5,"Ils étaient les plus enclins à s'établir dans un endroit précis, et ce furent eux qui conservèrent le plus longtemps la coutume ancestrale de vivre dans des galeries et des trous."
75,Le Seigneur des Anneaux,,,3,3,5,"Les Forts s'attardèrent longtemps sur les bords du Grand Fleuve Anduin, et ils craignaient moins les Hommes."
76,Le Seigneur des Anneaux,,,3,3,5,"Ils vinrent dans l'Ouest après les Pieds velus et suivirent le cours de la Sonoreau en direction du sud, Et là, ils furent nombreux à demeurer entre Tharbad et la frontière du Pays de Dun avant de repartir vers le nord."
77,Le Seigneur des Anneaux,,,3,3,5,"Les Pâles, les moins nombreux, étaient une branche nordique."
78,Le Seigneur des Anneaux,,,3,3,5,"Ils avaient plus de rapports amicaux avec les Nains que les autres Hobbits, et ils s'entendaient davantage au langage et au chant qu'aux travaux manuels, et jadis ils préféraient la chasse à l'agriculture."
79,Le Seigneur des Anneaux,,,3,3,5,Ils traversèrent la montagne au nord de Fondcombe et suivirent la Fontgrise.
80,Le Seigneur des Anneaux,,,3,3,5,"En Ériador, ils ne tardèrent pas à se mêler aux autres espèces qui les avaient précédés, mais, plus hardis et plus aventureux, on les trouvait souvent comme meneurs ou chefs de clan parmi les Pieds velus ou les Forts."
81,Le Seigneur des Anneaux,,,3,3,5,"Même du temps de Bilbon, on pouvait encore constater la puissante veine pâle dans les grandes familles telles que les Touques et les Maîtres du Pays-de-Bouc."
82,Le Seigneur des Anneaux,,,3,3,5,"Dans les terres de l'ouest d'Ériador, entre les Monts Brumeux et les Monts de Lhùn, les Hobbits trouvèrent tant des Hommes que des Elfes."
83,Le Seigneur des Anneaux,,,3,3,5,"En fait, demeurait là un restant des Dunedain, les rois des Hommes qui vinrent par la mer de l'Ouistrenesse, mais ils diminuaient rapidement, et les terres de leur royaume du nord retombaient partout en friche."
