sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,text_lemma
1,Le Seigneur des Anneaux,,,1,1,2,Le seigneur des anneaux Page 1 sur 1,Le seigneur de anneau Page 1 sur 1
2,Le Seigneur des Anneaux,,,1,1,2,PREMIERE,PREMIERE
3,Le Seigneur des Anneaux,,,1,1,2,PARTIE,PARTIE
4,Le Seigneur des Anneaux,,,1,1,2,Livre I,Livre I
5,Le Seigneur des Anneaux,,,1,1,2,La communauté de l'anneau J. R. R. TOLKIEN,Le communauté de leanneau J. R. R. TOLKIEN
6,Le Seigneur des Anneaux,,,1,1,2,LE SEIGNEUR DES ANNEAUX,LE SEIGNEUR DE ANNEAU
7,Le Seigneur des Anneaux,,,1,1,2,La Communauté de l'anneau,Le Communauté de leanneau
8,Le Seigneur des Anneaux,,,1,1,2,Les Deux Tours,Le Deux Tour
9,Le Seigneur des Anneaux,,,1,1,2,Le Retour du roi Édition complète avec Appendices et Index,Le Retour de roi Édition complet avec Appendice et Index
10,Le Seigneur des Anneaux,,,1,1,2,Le seigneur des anneaux Page 2 sur 2,Le seigneur de anneau Page 2 sur 2
11,Le Seigneur des Anneaux,,,1,1,2,PREMIERE PARTIE,PREMIERE PARTIE
12,Le Seigneur des Anneaux,,,1,1,2,Livre I,Livre I
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,","Le communauté de leanneau Trois Anneau pour le Roi Elfer sou le ciel, Sept pour le Seigneur Nain dans leur demeure de pierre, Neuf pour le Homme Mortel destiner au trépas,"
14,Le Seigneur des Anneaux,,,1,1,2,Un pour le Seigneur des Ténèbres sur son sombre trône Dans le Pays de Mordor où s'étendent les Ombres.,Un pour le Seigneur de Ténèbre sur son sombre trône Dans le Pays de Mordor où seétendre le Ombre.
15,Le Seigneur des Anneaux,,,1,1,2,"Un Anneau pour les gouverner tous, Un Anneau pour les trouver, Un Anneau pour les amener tous et dans les ténèbres les lier Au Pays de Mordor où s'étendent les Ombres.","Un Anneau pour le gouverner tout, Un Anneau pour le trouver, Un Anneau pour le amener tout et dans le ténèbre le lier Au Pays de Mordor où seétendre le Ombre."
16,Le Seigneur des Anneaux,,,3,3,5,Le seigneur des anneaux Page 3 sur 3,Le seigneur de anneau Page 3 sur 3
17,Le Seigneur des Anneaux,,,3,3,5,PREMIERE,PREMIERE
18,Le Seigneur des Anneaux,,,3,3,5,PARTIE,PARTIE
19,Le Seigneur des Anneaux,,,3,3,5,Livre I,Livre I
20,Le Seigneur des Anneaux,,,3,3,5,La communauté de l'anneau Le seigneur des anneaux Page 4 sur 4 PREMIERE,Le communauté de leanneau Le seigneur de anneau Page 4 sur 4 PREMIERE
21,Le Seigneur des Anneaux,,,3,3,5,PARTIE,PARTIE
22,Le Seigneur des Anneaux,,,3,3,5,Livre I,Livre I
23,Le Seigneur des Anneaux,,,3,3,5,La communauté de l'anneau I DES HOBBITS,Le communauté de leanneau I DE HOBBITS
24,Le Seigneur des Anneaux,,,3,3,5,"Ce livre traite dans une large mesure des Hobbits, et le lecteur découvrira dans ses pages une bonne part de leur caractère et un peu de leur histoire.","Ce livre traire dans un large mesure de Hobbit, et le lecteur découvrir dans son page un bon part de son caractère et un peu de son histoire."
25,Le Seigneur des Anneaux,,,3,3,5,On pourra trouver d'autres renseignements dans les extraits du Livre Rouge de la Marche de l'Ouest déjà publiés sous le titre: Le Hobbit.,On pouvoir trouver deautre renseignement dans le extrait de Livre Rouge de le Marche de leOuest déjà publier sou le titre: Le Hobbit.
26,Le Seigneur des Anneaux,,,3,3,5,"La présente histoire a pour origine les premiers chapitres du Livre Rouge composé par Bilbon lui-même, premier Hobbit à devenir fameux dans le monde entier, il leur donna pour titre:","Le présent histoire avoir pour origine le premier chapitre de Livre Rouge composer par Bilbon lui-même, premier Hobbit à devenir fameux dans le monde entier, il son donner pour titre:"
27,Le Seigneur des Anneaux,,,3,3,5,"Histoire d'un aller et retour,","Histoire deun aller et retour,"
