sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,mot_detecte
1,Le Seigneur des Anneaux,,,1,1,2,Le seigneur des anneaux Page 1 sur 1,Page
7,Le Seigneur des Anneaux,,,1,1,2,La Communauté de l'anneau,Communauté
8,Le Seigneur des Anneaux,,,1,1,2,Les Deux Tours,Deux
8,Le Seigneur des Anneaux,,,1,1,2,Les Deux Tours,Tours
9,Le Seigneur des Anneaux,,,1,1,2,Le Retour du roi Édition complète avec Appendices et Index,Retour
9,Le Seigneur des Anneaux,,,1,1,2,Le Retour du roi Édition complète avec Appendices et Index,Édition
9,Le Seigneur des Anneaux,,,1,1,2,Le Retour du roi Édition complète avec Appendices et Index,Appendices
9,Le Seigneur des Anneaux,,,1,1,2,Le Retour du roi Édition complète avec Appendices et Index,Index
10,Le Seigneur des Anneaux,,,1,1,2,Le seigneur des anneaux Page 2 sur 2,Page
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Trois
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Anneaux
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Rois
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Elfes
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Sept
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Seigneurs
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Nains
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Neuf
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Hommes
13,Le Seigneur des Anneaux,,,1,1,2,"La communauté de l'anneau Trois Anneaux pour les Rois Elfes sous le ciel, Sept pour les Seigneurs Nains dans leurs demeures de pierre, Neuf pour les Hommes Mortels destinés au trépas,",Mortels
14,Le Seigneur des Anneaux,,,1,1,2,Un pour le Seigneur des Ténèbres sur son sombre trône Dans le Pays de Mordor où s'étendent les Ombres.,Seigneur
