ID unique,Noms humains,Second nom,Troisième nom,Quatrième nom,aliases
1,A. C.,Sopers,,,A. C. Sopers | Sopers | A. C.
2,A’dan,,,,A’dan
3,A’murry,,,,A’murry
4,Abula,,,,Abula
5,Abuna,,,,Abuna
6,Adessa,,,,Adessa
7,Adrea,Beljeth,,,Adrea Beljeth | Beljeth | Adrea
8,Afnor,,,,Afnor
9,Aida,,,,Aida
10,Aisling,Hempenstahl,,,Aisling Hempenstahl | Hempenstahl | Aisling
11,Albuna,,,,Albuna
12,Alda,,,,Alda
13,Aleki,,,,Aleki
14,Alemi,Onclemi,Lemi,,Alemi Onclemi Lemi | Alemi Onclemi | Onclemi Lemi | Alemi Lemi | Onclemi | Alemi | Lemi
15,Alessan,,,,Alessan
16,Alianne,Zulueta,,,Alianne Zulueta | Alianne | Zulueta
17,Aliena,Zuleita,,,Aliena Zuleita | Zuleita | Aliena
18,Almie,,,,Almie
19,Amilla,,,,Amilla
20,Ampris,,,,Ampris
21,Anama,,,,Anama
22,Anchoran,,,,Anchoran
23,Andemon,,,,Andemon
24,Ander,,,,Ander
25,Andremon,,,,Andremon
26,Anella,,,,Anella
27,Anguille,,,,Anguille
28,Anskono,,,,Anskono
29,Anta,,,,Anta
30,Aramina,Mina,Ara,,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara
31,Aranya,,,,Aranya
32,Armald,,,,Armald
33,Arminet,,,,Arminet
34,Armor,,,,Armor
35,Arnor,,,,Arnor
36,Arthied,Desi,,,Arthied Desi | Arthied | Desi
37,Asgenar,,,,Asgenar
38,Ashmichel,,,,Ashmichel
39,Athpathis,,,,Athpathis
40,Audiva,,,,Audiva
41,Avril,Bitra,,,Avril Bitra | Avril | Bitra
42,Azury,,,,Azury
43,B’dor,,,,B’dor
44,B’fol,,,,B’fol
45,B’greal,,,,B’greal
46,B’lerion,,,,B’lerion
47,B’naj,,,,B’naj
48,B’ner,,,,B’ner
49,B’nurrin,,,,B’nurrin
50,B’rant,,,,B’rant
51,B’refli,,,,B’refli
52,B’zon,,,,B’zon
53,Bahka,,,,Bahka
54,Baid,,,,Baid
55,Baldor,,,,Baldor
56,Balfor,,,,Balfor
57,Ballora,,,,Ballora
58,Banak,,,,Banak
59,Bandarek,,,,Bandarek
60,Banger,,,,Banger
61,Bantur,,,,Bantur
62,Barba,,,,Barba
63,Bardie,,,,Bardie
64,Bargen,,,,Bargen
65,Barla,,,,Barla
66,Barly,,,,Barly
67,Barndy,,,,Barndy
68,Barr,Hamil,,,Barr Hamil | Hamil | Barr
69,Bart,Lemos,,,Bart Lemos | Lemos | Bart
70,Basil,,,,Basil
71,Bastom,,,,Bastom
72,Batim,,,,Batim
73,Batunon,,,,Batunon
