Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
A. C.,Sopers,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A’dan,,,,HOMME,2,,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,29
A’murry,,,,HOMME,3,,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,22
Abula,,,,FEMME,4,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Abuna,,,,FEMME,5,,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,23
Adessa,,,,FEMME,6,True,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Adrea,Beljeth,,,FEMME,7,,0,4,0,0,0,5,0,0,0,0,0,0,0,2,11,22
Afnor,,,,HOMME,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
Aida,,,,FEMME,9,,7,4,2,6,1,14,5,1,4,4,1,5,5,8,1,68
Aisling,Hempenstahl,,,,10,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Albuna,,,,,11,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Alda,,,,FEMME,12,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Aleki,,,,HOMME,13,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Alemi,Onclemi,Lemi,,HOMME,14,,0,465,0,0,0,12,0,0,0,97,2,0,0,21,0,597
Alessan,,,,HOMME,15,,0,0,0,595,150,8,0,0,0,0,0,0,0,0,0,753
Alianne,Zulueta,,,FEMME,16,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aliena,Zuleita,,,FEMME,17,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Almie,,,,FEMME,18,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Amilla,,,,FEMME,19,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4
Ampris,,,,HOMME,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Anama,,,,FEMME,21,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Anchoran,,,,HOMME,22,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Andemon,,,,HOMME,23,,0,1,0,0,0,0,0,0,50,0,0,0,3,0,0,54
Ander,,,,,24,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Andremon,,,,HOMME,25,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anella,,,,FEMME,26,,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,52
Anguille,,,,HOMME,27,,2,0,0,0,0,0,133,0,0,0,0,0,0,0,0,135
Anskono,,,,HOMME,28,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Anta,,,,,29,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Aramina,Mina,Ara,,FEMME,30,,0,81,0,0,0,185,0,0,0,0,0,0,0,11,1,278
Aranya,,,,FEMME,31,,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,13
Armald,,,,HOMME,32,True,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25
Arminet,,,,HOMME,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
Armor,,,,HOMME,34,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Arnor,,,,HOMME,35,,0,0,0,0,0,3,0,0,0,0,12,3,2,7,0,27
Arthied,Desi,,,HOMME,36,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Asgenar,,,,HOMME,37,,0,6,0,0,0,123,0,0,89,0,1,0,4,45,2,270
Ashmichel,,,,HOMME,38,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Athpathis,,,,HOMME,39,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Audiva,,,,FEMME,40,,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78
Avril,Bitra,,,FEMME,41,,194,0,145,4,1,19,2,6,8,0,1,1,0,22,7,410
Azury,,,,HOMME,42,,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39
B’dor,,,,HOMME,43,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
B’fol,,,,,44,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
B’greal,,,,,45,,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4
B’lerion,,,,HOMME,46,,0,0,0,115,23,2,0,0,0,0,0,0,0,0,0,140
B’naj,,,,HOMME,47,,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13
B’ner,,,,HOMME,48,True,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
B’nurrin,,,,HOMME,49,,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32
B’rant,,,,HOMME,50,,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,6
B’refli,,,,,51,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B’zon,,,,HOMME,52,,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,14
