full_name,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15
A. C. Sopers 1,0.00016131634134537829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A’dan 2,0.0,0.0,0.0,0.005129882876398613,0.0,6.032672956733669e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A’murry 3,0.0,0.0,0.0,0.0038036915646023806,0.0,7.952159806603473e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abula 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030376670716889426,0.0,0.0,0.0,0.0
Abuna 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005282899255111205,0.00014760631755039117,0.0,0.0,0.0
Adessa 6,0.0,0.0,0.0,0.0,0.0,0.0,0.000630715862503942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrea Beljeth 7,0.0,0.0002170315509617211,0.0,0.0,0.0,0.00019880399516508684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8123461998171973e-05,0.0010464231354642313
Afnor 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003480278422273782,4.756468797564688e-05
Aida 9,0.00011624265773416964,7.021609001702741e-05,1.4413998875708086e-05,0.0001004576403616475,1.2666565334143994e-05,0.0005042604865599144,5.797020795072996e-05,4.6332332554950145e-06,4.053300906926078e-05,0.00012836558518661146,4.467157458366092e-06,0.00013868240619522044,6.40054071767983e-05,0.0001455802738728902,2.797922822096875e-06
Aisling Hempenstahl 10,0.00032263268269075657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albuna 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003772161448509996,0.0,0.0,0.0
Alda 12,0.0,0.0,0.0,0.0,0.0,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleki 13,0.0,0.0008952551477170994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemi Onclemi Lemi 14,0.0,0.10808293931609704,0.0,0.0,0.0,4.219839575765461e-05,0.0,0.0,0.0,0.008598182766898686,2.0352878202270973e-06,0.0,0.0,0.00011426039711317609,0.0
Alessan 15,0.0,0.0,0.0,0.08921304031187079,0.025736845898061498,1.4869377168257224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alianne Zulueta 16,0.00016131634134537829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliena Zuleita 17,0.0,0.0,0.0002450379808870375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almie 18,0.0,0.0017905102954341987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amilla 19,0.0,0.0,0.0,0.0,0.001937984496124031,4.37368789363191e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ampris 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015467904098994585,0.0
Anama 21,0.0,0.0,0.0,0.0,0.0,0.0003498950314905528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
