,Alemi,Alessan,Andemon,Anella,A’murry,Bargen,Bedella,Benelek,Berchar,Berd,Brekke,Briala,B’lerion,Camo,Canth,Capiam,Corman,Dag,Deckter,Domick,Dorse,Dunca,D’ram,Fandarel,Fax,Fergal,F’lar,F’lessan,F’nor,Gemma,Golanth,Grall,Groghe,G’narish,Heth,Holth,Idarolan,Jaxom,Jerint,Kadith,Kern,Kylara,K’lon,K’van,Larad,Leef,Leri,Lessa,Lidora,L’mal,Mardra,Mavi,Menolly,Merelan,Meron,Mirrim,Mnementh,Monarth,Moreta,Nadira,Nemorth,Nessel,Nicat,N’ton,Oklina,Oldive,Oncle,Orlith,Oterel,Petiron,Piemur,Pol,Pona,Prideth,Ramoth,Ratoshigan,Robinton,Ruth,Sallah,Sangel,Sebell,Sharra,Shonagar,Sh’gall,Sigomal,Silvina,Sograny,Stupide,Suriana,S’gor,Tagetarl,Talmor,Talpan,Terry,Tirone,Toric,T’bor,T’kul,T’reb,T’ton,Vincet,Wansor,Warbret,Wirenth,Zair,Zurg
Alemi,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8639172365120457,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,1.0,1.0,0.9699443455110855,0.9683614001415833,1.0,1.0,0.9546390788373486,1.0,1.0,1.0,1.0,1.0,0.037749551350623745,0.8217205659470177,1.0,1.0,1.0,1.0,1.0,1.0,0.8639172365120457,1.0,1.0,0.9503096005000047,1.0,1.0,1.0,1.0,0.8379277872245616,1.0,1.0,0.8639172365120457,1.0,0.037749551350623745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3195861825602284,1.0,1.0,1.0,1.0,0.9790019737217096,1.0,1.0,1.0,0.9358499700900416,1.0,0.9134018777803927,0.9476217199121076,1.0,1.0,0.8075499102701248,0.8556624327025936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Alessan,1.0,0.0,1.0,0.5799159747915971,0.8599719915971991,1.0,1.0,1.0,0.15983194958319413,1.0,1.0,1.0,0.5149287499273341,1.0,1.0,0.11438511445990485,1.0,0.20788196561866057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15983194958319413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15983194958319413,1.0,1.0,1.0,0.15983194958319413,1.0,1.0,0.8599719915971991,1.0,1.0,0.7199439831943981,0.15983194958319413,1.0,0.8599719915971991,0.15983194958319413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09486639816563525,1.0,1.0,1.0,1.0,1.0,0.6039409828093303,1.0,0.4059114742139954,0.44998090178307326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15983194958319413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30689671991632805,1.0,1.0,1.0,1.0,0.41199350855034933,0.15983194958319413,1.0,1.0,0.8599719915971991,1.0,0.15983194958319413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Andemon,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1296117202215108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,0.42264973081037416,1.0,1.0,0.6876524762227878,1.0,0.6286093236458963,1.0,1.0,0.0,0.29289321881345254,0.0,1.0,1.0,1.0,0.8315696157866962,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.7418011102528389,1.0,1.0,0.5917517095361369,1.0,1.0,1.0,0.29289321881345254,1.0,0.42264973081037416,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1982162742627268,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.29289321881345254,1.0,0.29289321881345254,1.0,1.0
Anella,1.0,0.5799159747915971,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42264973081037416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2701995508002383,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0871290708247231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A’murry,1.0,0.8599719915971991,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8957427929714626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12712843905603044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bargen,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4654775161751512,1.0,1.0,1.0,0.8143046618229481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15484574527148343,1.0,1.0,1.0,1.0,1.0,1.0,0.10004591485348491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6220355269907728,1.0,0.29289321881345254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bedella,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,1.0,0.7327387580875756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9157848078933482,1.0,1.0,1.0,1.0,1.0,0.0,0.29289321881345254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9157848078933482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6726731646460113,1.0,1.0,1.0,1.0,1.0,0.9357175653466775,1.0,1.0,1.0,0.8571428571428572,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10197348986612542,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Benelek,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3753049524455757,1.0,0.8143046618229481,1.0,1.0,1.0,0.29289321881345254,1.0,1.0,1.0,1.0,0.24206327104013292,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7418011102528389,1.0,1.0,1.0,1.0,0.9157848078933482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6726731646460113,1.0,1.0,1.0,0.33333333333333337,1.0,0.74287026138671,0.047420655584319626,1.0,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Berchar,1.0,0.15983194958319413,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05131670194948623,1.0,0.29289321881345254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37445675782877563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,0.5635642195280153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,1.0,1.0,1.0,1.0,0.8174258141649446,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Berd,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1296117202215108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29289321881345254,0.42264973081037416,1.0,1.0,0.6876524762227878,1.0,0.6286093236458963,1.0,1.0,0.0,0.29289321881345254,0.0,1.0,1.0,1.0,0.8315696157866962,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.7418011102528389,1.0,1.0,0.5917517095361369,1.0,1.0,1.0,0.29289321881345254,1.0,0.42264973081037416,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1982162742627268,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.29289321881345254,1.0,0.29289321881345254,1.0,1.0
