ID unique,Noms humains,Second nom,Troisième nom,Quatrième nom,ID unique,aliases
1,A. C.,Sopers,,,1,A. C. Sopers | Sopers | A. C.
2,A’dan,,,,2,A’dan
3,A’murry,,,,3,A’murry
4,Abula,,,,4,Abula
5,Abuna,,,,5,Abuna
6,Adessa,,,,6,Adessa
7,Adrea,Beljeth,,,7,Adrea Beljeth | Beljeth | Adrea
8,Afnor,,,,8,Afnor
9,Aida,,,,9,Aida
10,Aisling,Hempenstahl,,,10,Aisling Hempenstahl | Hempenstahl | Aisling
11,Albuna,,,,11,Albuna
12,Alda,,,,12,Alda
13,Aleki,,,,13,Aleki
14,Alemi,Onclemi,Lemi,,14,Alemi Onclemi Lemi | Alemi Onclemi | Onclemi Lemi | Alemi Lemi | Onclemi | Alemi | Lemi
15,Alessan,,,,15,Alessan
16,Alianne,Zulueta,,,16,Alianne Zulueta | Alianne | Zulueta
17,Aliena,Zuleita,,,17,Aliena Zuleita | Zuleita | Aliena
18,Almie,,,,18,Almie
19,Amilla,,,,19,Amilla
20,Ampris,,,,20,Ampris
21,Anama,,,,21,Anama
22,Anchoran,,,,22,Anchoran
23,Andemon,,,,23,Andemon
24,Ander,,,,24,Ander
25,Andremon,,,,25,Andremon
26,Anella,,,,26,Anella
27,Anguille,,,,27,Anguille
28,Anskono,,,,28,Anskono
29,Anta,,,,29,Anta
30,Aramina,Mina,Ara,,30,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara
31,Aranya,,,,31,Aranya
32,Armald,,,,32,Armald
33,Arminet,,,,33,Arminet
34,Armor,,,,34,Armor
35,Arnor,,,,35,Arnor
36,Arthied,Desi,,,36,Arthied Desi | Arthied | Desi
37,Asgenar,,,,37,Asgenar
38,Ashmichel,,,,38,Ashmichel
39,Athpathis,,,,39,Athpathis
40,Audiva,,,,40,Audiva
41,Avril,Bitra,,,41,Avril Bitra | Avril | Bitra
42,Azury,,,,42,Azury
43,B’dor,,,,43,B’dor
44,B’fol,,,,44,B’fol
45,B’greal,,,,45,B’greal
46,B’lerion,,,,46,B’lerion
47,B’naj,,,,47,B’naj
48,B’ner,,,,48,B’ner
49,B’nurrin,,,,49,B’nurrin
50,B’rant,,,,50,B’rant
51,B’refli,,,,51,B’refli
52,B’zon,,,,52,B’zon
53,Bahka,,,,53,Bahka
54,Baid,,,,54,Baid
55,Baldor,,,,55,Baldor
56,Balfor,,,,56,Balfor
57,Ballora,,,,57,Ballora
58,Banak,,,,58,Banak
59,Bandarek,,,,59,Bandarek
60,Banger,,,,60,Banger
61,Bantur,,,,61,Bantur
62,Barba,,,,62,Barba
63,Bardie,,,,63,Bardie
64,Bargen,,,,64,Bargen
65,Barla,,,,65,Barla
66,Barly,,,,66,Barly
67,Barndy,,,,67,Barndy
68,Barr,Hamil,,,68,Barr Hamil | Hamil | Barr
69,Bart,Lemos,,,69,Bart Lemos | Lemos | Bart
70,Basil,,,,70,Basil
71,Bastom,,,,71,Bastom
72,Batim,,,,72,Batim
73,Batunon,,,,73,Batunon
74,Bay,Harkenon,,,74,Bay Harkenon | Harkenon | Bay
75,Bedda,,,,75,Bedda
76,Bedella,,,,76,Bedella
77,Begamon,,,,77,Begamon
78,Belesdan,Belesden,,,78,Belesdan Belesden | Belesdan | Belesden
79,Belterac,,,,79,Belterac
80,Ben,,,,80,Ben
81,Bendarek,,,,81,Bendarek
82,Benelek,,,,82,Benelek
83,Benini,,,,83,Benini
84,Benis,,,,84,Benis
85,Benoria,,,,85,Benoria
86,Berchar,Berch,,,86,Berchar Berch | Berchar | Berch
87,Berdine,,,,87,Berdine
88,Besel,,,,88,Besel
89,Besic,,,,89,Besic
90,Bessel,,,,90,Bessel
91,Bessera,,,,91,Bessera
92,Bestrum,,,,92,Bestrum
93,Bethany,,,,93,Bethany
94,Betrice,,,,94,Betrice
95,Betsy,,,,95,Betsy
