full_name,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15
A. C. Sopers 1,0.00016131634134537829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A’dan 2,0.0,0.0,0.0,0.005313092979127135,0.0,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A’murry 3,0.0,0.0,0.0,0.003984819734345351,0.0,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abula 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030376670716889426,0.0,0.0,0.0,0.0
Abuna 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006075334143377886,0.001131648434552999,0.0,0.0,0.0
Adessa 6,0.0,0.0,0.0,0.0,0.0,0.0,0.000630715862503942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrea Beljeth 7,0.0,0.001193673530289466,0.0,0.0,0.0,0.0008747375787263821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003093580819798917,0.0020928462709284626
Afnor 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004640371229698376,0.0001902587519025875
Aida 9,0.001129214389417648,0.001193673530289466,0.000490075961774075,0.0011385199240986717,0.0008613264427217916,0.00244926522043387,0.0007883948281299275,0.000315059861373661,0.0006890611541774332,0.002182214948172395,0.00030376670716889426,0.001886080724254998,0.0008704735376044568,0.0012374323279195668,0.0001902587519025875
Aisling Hempenstahl 10,0.00032263268269075657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albuna 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003772161448509996,0.0,0.0,0.0
Alda 12,0.0,0.0,0.0,0.0,0.0,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleki 13,0.0,0.0008952551477170994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemi Onclemi Lemi 14,0.0,0.1387645478961504,0.0,0.0,0.0,0.002099370188943317,0.0,0.0,0.0,0.05291871249318058,0.0006075334143377885,0.0,0.0,0.0032482598607888632,0.0
Alessan 15,0.0,0.0,0.0,0.11290322580645161,0.12919896640826872,0.0013995801259622112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alianne Zulueta 16,0.00016131634134537829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliena Zuleita 17,0.0,0.0,0.0002450379808870375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almie 18,0.0,0.0017905102954341987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amilla 19,0.0,0.0,0.0,0.0,0.002583979328165375,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ampris 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015467904098994585,0.0
Anama 21,0.0,0.0,0.0,0.0,0.0,0.0003498950314905528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchoran 22,0.0,0.0,0.0,0.0,0.0,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andemon 23,0.0,0.0002984183825723665,0.0,0.0,0.0,0.0,0.0,0.0,0.008613264427217916,0.0,0.0,0.0,0.0005222841225626741,0.0,0.0
Ander 24,0.0,0.0,0.0,0.0,0.0,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andremon 25,0.0,0.0002984183825723665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anella 26,0.0,0.0,0.0,0.0,0.04392764857881137,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguille 27,0.00032263268269075657,0.0,0.0,0.0,0.0,0.0,0.02097130242825607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anskono 28,0.0,0.000596836765144733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anta 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0004730368968779565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aramina Mina Ara 30,0.0,0.024171888988361683,0.0,0.0,0.0,0.032365290412876134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017014694508894045,0.0001902587519025875
Aranya 31,0.0,0.0035810205908683975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015467904098994585,0.0
Armald 32,0.0,0.0,0.0,0.0,0.0,0.00437368789363191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arminet 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028538812785388126
Armor 34,0.0,0.0,0.0,0.0,0.0,0.0001749475157452764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnor 35,0.0,0.0,0.0,0.0,0.0,0.0005248425472358292,0.0,0.0,0.0,0.0,0.0036452004860267314,0.001131648434552999,0.00034818941504178273,0.001082753286929621,0.0
Arthied Desi 36,0.003871592192289079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asgenar 37,0.0,0.0017905102954341987,0.0,0.0,0.0,0.021518544436669,0.0,0.0,0.01533161068044789,0.0,0.00030376670716889426,0.0,0.0006963788300835655,0.0069605568445475635,0.000380517503805175
Ashmichel 38,0.0,0.0,0.0,0.0,0.0,0.0,0.0007883948281299275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athpathis 39,0.00032263268269075657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Audiva 40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023693803159173753,0.0,0.0,0.0,0.0
Avril Bitra 41,0.031295370221003385,0.0,0.03553050722862044,0.0007590132827324478,0.0008613264427217916,0.003324002799160252,0.000315357931251971,0.001890359168241966,0.0013781223083548665,0.0,0.00030376670716889426,0.0003772161448509996,0.0,0.003402938901778809,0.0013318112633181126
Azury 42,0.0,0.0,0.009556481254594462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B’dor 43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010335917312661498,0.0,0.0,0.0,0.0,0.0,0.0
