ID unique,Noms humains,Second nom,Troisième nom,Quatrième nom,aliases
1,A. C.,Sopers,,,A. C. Sopers | Sopers | A. C.
2,A’dan,,,,A’dan
3,A’murry,,,,A’murry
4,Abula,,,,Abula
5,Abuna,,,,Abuna
6,Adessa,,,,Adessa
7,Adrea,Beljeth,,,Adrea Beljeth | Beljeth | Adrea
8,Afnor,,,,Afnor
9,Aida,,,,Aida
10,Aisling,Hempenstahl,,,Aisling Hempenstahl | Hempenstahl | Aisling
11,Albuna,,,,Albuna
12,Alda,,,,Alda
13,Aleki,,,,Aleki
15,Alemi,,,,Alemi
14,Alemi,Onclemi,Lemi,,Alemi Onclemi Lemi | Alemi Onclemi | Onclemi Lemi | Alemi Lemi | Onclemi | Alemi | Lemi
16,Alessan,,,,Alessan
17,Alianne,Zulueta,,,Alianne Zulueta | Alianne | Zulueta
18,Aliena,Zuleita,,,Aliena Zuleita | Zuleita | Aliena
19,Almie,,,,Almie
20,Amilla,,,,Amilla
21,Ampris,,,,Ampris
22,Anama,,,,Anama
23,Anchoran,,,,Anchoran
24,Andemon,,,,Andemon
25,Ander,,,,Ander
26,Andremon,,,,Andremon
27,Anella,,,,Anella
28,Anguille,,,,Anguille
29,Anskono,,,,Anskono
30,Anta,,,,Anta
31,Aramina,Mina,Ara,,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara
32,Aranya,,,,Aranya
33,Armald,,,,Armald
34,Arminet,,,,Arminet
35,Armor,,,,Armor
36,Arnor,,,,Arnor
37,Arthied,Desi,,,Arthied Desi | Arthied | Desi
38,Asgenar,,,,Asgenar
39,Ashmichel,,,,Ashmichel
40,Athpathis,,,,Athpathis
41,Audiva,,,,Audiva
42,Avril,Bitra,,,Avril Bitra | Avril | Bitra
43,Azury,,,,Azury
44,B’dor,,,,B’dor
45,B’fol,,,,B’fol
46,B’greal,,,,B’greal
47,B’lerion,,,,B’lerion
48,B’naj,,,,B’naj
49,B’ner,,,,B’ner
50,B’nurrin,,,,B’nurrin
51,B’rant,,,,B’rant
52,B’refli,,,,B’refli
53,B’zon,,,,B’zon
54,Bahka,,,,Bahka
55,Baid,,,,Baid
56,Baldor,,,,Baldor
57,Balfor,,,,Balfor
58,Ballora,,,,Ballora
59,Banak,,,,Banak
60,Bandarek,,,,Bandarek
61,Banger,,,,Banger
62,Bantur,,,,Bantur
63,Barba,,,,Barba
64,Bardie,,,,Bardie
65,Bargen,,,,Bargen
66,Barla,,,,Barla
67,Barly,,,,Barly
68,Barndy,,,,Barndy
69,Barr,Hamil,,,Barr Hamil | Hamil | Barr
70,Bart,Lemos,,,Bart Lemos | Lemos | Bart
71,Basil,,,,Basil
72,Bastom,,,,Bastom
73,Batim,,,,Batim
