sentence_id,book,parution,start_pdf_page,end_pdf_page,text
1,,,1,5,at BALLADE SCIENCE-
2,,,1,5,FICTION
3,,,1,5,Collection dirigée par Bénédicte Lombardo
4,,,1,5,ANNE
5,,,1,5,McCAFFREY
6,,,1,5,La ballade de Pern Intégrale
7,,,1,5,"Traduction de l’américain par Simone Hilling LA ’, por ete Me2 ges #1À Æ Tor dee"
8,,,1,5,Gifra e Moy de Benden Fort de Fort «‘de Nerat —
9,,,1,5,Courant méridional .
10,,,6,8,SCIENCE
11,,,6,8,-
12,,,6,8,FICTION
13,,,6,8,Collection dirigée par Bénédicte Lombardo
14,,,6,8,ANNE
15,,,6,8,McCAFFREY
16,,,6,8,La Ballade de Pern
17,1,1988,6,8,- Tome 1 L’AUBE DES DRAGONS
18,1,1988,6,8,Traduction de l’américain par Simone Hilling Première partie
19,1,1988,6,8,TERMINUS
20,1,1988,6,8,"— Les rapports de la sonde commencent à arriver, amiral, annonça Sallah Telgar, sans détourner les yeux des points lumineux scintillant sur son terminal."
21,1,1988,6,8,"— Sur l’écran, s’il vous plaît, Mistress Telgar, répliqua l’amiral Benden."
22,1,1988,6,8,"Près de lui, appuyée contre son fauteuil de commandant, Emily"
23,1,1988,6,8,"Boll fixait intensément la planète baignée de soleil, à peine consciente de l’activité"
24,1,1988,6,8,régnant autour d’elle.
25,1,1988,6,8,"L’Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination."
26,1,1988,6,8,"Dans les bureaux situés sous la passerelle de commandement, les spécialistes attendaient impatiemment la mise à jour des rapports de l’équipe de l’Expédition d’"
27,1,1988,6,8,Exploration et d’
28,1,1988,6,8,"Évaluation, qui, deux cents ans plus tôt"
29,1,1988,6,8,", avait recommandé pour la colonisation la troisième planète de Rukbat."
30,1,1988,6,8,"Le long voyage jusqu’au secteur du Sagittaire s’était passé sans encombre, dans une monotonie rompue une seule fois par l’émotion due à la découverte du nuage d’Oort entourant le système de Rukbat."
31,1,1988,6,8,"Ce phénomène avait continué à passionner les scientifiques et les techniciens, mais Paul Benden s’en était désintéressé quand Ezra Keroon, capitaine du Bahrain et astronome de l’expédition, lui eut assuré que ce n’était rien de plus qu’une curiosité astronomique."
32,1,1988,6,8,"On continuerait à le surveiller, avait dit Ezra, mais si des comètes pouvaient se former dans ses profondeurs et s’en échapper, il doutait qu’elles représentent un danger pour les trois vaisseaux de la colonie ou la planète dont ils approchaient."
33,1,1988,6,8,"Après tout, l’équipe d’"
34,1,1988,6,8,Exploration et d’
35,1,1988,6,8,Évaluation n’avait signalé
36,1,1988,6,8,aucun indice d’activité météorique préoccupante à la surface de Pern.
37,1,1988,9,11,"— Premiers rapports des sondes deux et cinq, confirma Sallah."
38,1,1988,9,11,"Du coin de l’œil, elle vit que l’amiral Benden souriait."
39,1,1988,9,11,"— Un peu décevant tout cela, non ?"
40,1,1988,9,11,murmura Paul à Emily Boll comme les derniers rapports s’inscrivaient sur les écrans.
41,1,1988,9,11,"Bras croisés, elle n’avait pas bougé depuis le lancement des sondes, seuls ses doigts frémissant de temps à autre sur ses bras."
42,1,1988,9,11,"L’air fataliste, elle garda les yeux fixés sur l’écran."
43,1,1988,9,11,"— Oh, je ne sais pas."
44,1,1988,9,11,C’est une manœuvre de plus qui nous rapproche de la surface.
45,1,1988,9,11,"Naturellement, ajouta-t-elle, ironique, nous ne pouvons rien changer à la situation annoncée, mais j’espère que nous pourrons assumer."
46,1,1988,9,11,"— Il faudra bien, répliqua Paul Benden, avec un peu d’appréhension."
47,1,1988,9,11,"C’était un voyage sans retour – il ne pouvait en être autrement, étant donné les frais engagés pour amener six mille colons et le matériel jusqu’à un secteur aussi écarté de la galaxie."
48,1,1988,9,11,"Une fois sur Pern, le carburant restant dans les grands astronefs de transport suffirait juste à les maintenir en orbite synchrone autour de leur nouvelle planète pendant que des navettes débarqueraient hommes et matériel."
49,1,1988,9,11,"Naturellement, ils avaient des capsulesSOS, qui pouvaient atteindre le quartier général des Planètes Intelligentes Fédérées en cinq ans, mais pour un tacticien naval à la retraite comme Paul Benden, une fragile capsule ne représentait pas une assurance appréciable."
50,1,1988,9,11,L’expédition de Pern était composée d’individus courageux et inventifs qui avaient choisi d’abandonner les civilisations de haute technologie des Planètes Intelligentes Fédérées.
51,1,1988,9,11,Ils avaient l’intention de survivre par leurs propres moyens.
52,1,1988,9,11,"Et, bien que leur planète de destination dans le système de Rukbat fût assez riche en minerais et minéraux pour suffire aux besoins d’une société agricole, elle était trop pauvre et trop éloignée du centre galactique pour éveiller la cupidité des technocrates."
53,1,1988,9,11,"— Encore un petit moment, murmura Emily, pour n’être entendue que de lui seul, et nous pourrons déposer notre accablant fardeau."
54,1,1988,9,11,"Il lui sourit, sachant qu’il avait été aussi difficile pour elle que pour lui de repousser les avances des technocrates gênés de perdre deux héros aussi charismatiques : l’amiral, vainqueur de la bataille spatiale de Cygnus, et l’héroïque gouverneur de Centauri Un."
55,1,1988,9,11,Mais personne ne pouvait nier qu’ils étaient des leaders idéaux pour l’expédition de Pern.
56,1,1988,9,11,"— À propos de fardeaux, reprit-elle plus haut, je ferais bien d’aller arbitrer mes équipes maintenant que les rapports commencent à arriver."
57,1,1988,9,11,"Je suppose que les spécialistes sont obligés de considérer leur propre discipline comme la plus importante, mais ces chicaneries incessantes… !"
58,1,1988,9,11,"Elle réprima un gémissement, puis sourit, ses yeux bleus scintillant dans un visage plutôt commun."
59,1,1988,9,11,"— Plus que quelques jours de palabres, amiral, et l’action reprendra le dessus."
60,1,1988,9,11,Elle le connaissait bien.
61,1,1988,9,11,Il détestait les débats interminables sur des questions secondaires qui semblaient obséder les équipes d’atterrissage.
62,1,1988,9,11,"Il préférait prendre des décisions rapides et les mettre immédiatement à exécution, plutôt que discuter jusqu’à ce que mort s’ensuive."
63,1,1988,9,11,"— Vous êtes plus patiente que moi avec vos équipes, dit doucement l’amiral."
64,1,1988,9,11,"Depuis deux mois que les vaisseaux décéléraient à l’approche du système de Rukbat, ce n’étaient qu’ennuyeux meetings et discussions sur des questions de procédure, pourtant étudiées à fond dix-sept ans plus tôt aux stades prévisionnels de l’aventure."
65,1,1988,9,11,La plupart des deux mille neuf cents colons du Yokohama avaient passé tout le voyage en animation suspendue.
66,1,1988,9,11,"Le personnel indispensable à la marche et à l’entretien des trois vaisseaux s’était relayé, par quarts de cinq ans."
67,1,1988,9,11,Paul Benden avait choisi le premier et le dernier quart.
68,1,1988,9,11,"Emily Boll avait été réveillée peu avant les autres spécialistes de l’environnement, qui avaient passé leur temps à critiquer la superficialité des rapports de l’Expédition d’Exploration et d’Évaluation."
69,1,1988,9,11,Elle jugeait inutile de leur rappeler leur enthousiasme à la lecture de ces mêmes rapports quand ils s’étaient engagés pour l’expédition de Pern.
70,1,1988,9,11,"Les yeux passant d’un terminal à un autre, se frictionnant distraitement trois doigts de son pouce, Paul continua à absorber les informations diffusées sur les écrans."
71,1,1988,9,11,"Bien qu’il ne fût pas le genre d’Emily, Paul Benden était incontestablement bel homme, et elle l’aimait mieux depuis qu’il avait renoncé aux cheveux en brosse des astronautes."
72,1,1988,9,11,"Elle trouvait que son épaisse crinière blonde adoucissait son visage taillé à coups de serpe, son nez camard, ses mâchoires puissantes et sa grande bouche qui, pour l’heure, souriait."
73,1,1988,9,11,"Le voyage lui avait fait du bien : il avait l’air en forme, prêt à affronter les rigueurs des prochains mois."
74,1,1988,9,11,"Emily se rappelait sa maigreur décharnée à la cérémonie officielle commémorant sa brillante victoire de Cygnus, où lui et la Flotte du secteur Pourpre avaient renversé l’issue de la guerre contre les Nathis."
75,1,1988,9,11,"Selon la légende, il était resté éveillé à son poste pendant les soixante-dix heures qu’avait duré la bataille."
76,1,1988,9,11,Emily le croyait.
77,1,1988,9,11,Elle avait fait elle-même quelque chose d’approchant au plus fort de l’attaque des Nathis contre sa planète.
78,1,1988,9,11,"On peut faire bien des choses sous la pression des événements, elle le savait par expérience."
79,1,1988,9,11,"À son avis, ces efforts surhumains se payaient plus tard, mais Benden, sa sixième décennie pourtant écornée, semblait toujours fort et vigoureux."
80,1,1988,9,11,"Quant à elle, elle ne remarquait aucun fléchissement de son énergie."
81,1,1988,9,11,"Quatorze ans de sommeil semblaient l’avoir guérie de sa terrible fatigue, conséquence obligée de sa défense de Centauri Un."
82,1,1988,9,11,Et ils approchaient d’un monde merveilleux !
83,1,1988,9,11,Emily soupira sans détourner les yeux des écrans plus d’une seconde.
84,1,1988,9,11,"Elle savait que tous ceux de service sur le pont, de même que ceux du quart précédent qui étaient restés là, étaient totalement hypnotisés par la magnificence de leur future patrie."
85,1,1988,9,11,"Qui l’avait baptisée Pern, elle ne s’en souvenait pas"
86,1,1988,9,11,"– c’étaient sans doute les lettres inscrites en tête du rapport, initiales de mots d’un sens tout différent –, mais, officiellement, la planète s’appelait Pern et elle était à eux."
87,1,1988,9,11,Ils effectuaient une approche équatoriale ;
88,1,1988,9,11,"l’indolente rotation de la planète lui cachait le continent Septentrional et la chaîne montagneuse bordant sa côte, et révélait le désert occidental du continent Méridional."
89,1,1988,9,11,"Le trait topographique dominant était un vaste océan, légèrement plus vert que ceux de la vieille Terre, ceinturé d’îles dispersées dans ses eaux."
90,1,1988,9,11,"Pour l’heure, l’atmosphère s’ornait des volutes nuageuses d’une zone de basses pressions se déplaçant rapidement vers le nord-est."
91,1,1988,9,11,Quel monde magnifique !
92,1,1988,9,11,"De nouveau, elle soupira, et remarqua Paul qui la regardait."
93,1,1988,9,11,"Elle lui sourit, sans vraiment détourner les yeux de l’écran."
94,1,1988,9,11,Un monde magnifique !
95,1,1988,9,11,Et à eux !
96,1,1988,9,11,"Cette fois, ils ne le pollueraient pas, se promit-elle avec ferveur."
97,1,1988,9,11,"Avec tant de magnifiques terres productives, les anciens impératifs ne s’appliquaient plus."
98,1,1988,9,11,"Non, corrigea-t-elle, les gens en inventent déjà de nouveaux."
99,1,1988,9,11,"Elle pensa aux frictions qu’elle avait senties entre les commanditaires, qui avaient trouvé les énormes crédits nécessaires au financement de l’expédition, et les exploitants, spécialistes représentant tous les corps de métiers indispensables à l’entreprise."
100,1,1988,9,11,"Tous obtiendraient de vastes terres ou d’importantes concessions minières sur ce nouveau monde, mais les commanditaires choisiraient les premiers et c’était une pomme de discorde."
101,1,1988,12,12,Encore
102,1,1988,12,12,des différences
103,1,1988,12,12,!
104,1,1988,12,12,"Pourquoi fallait-il qu’il y ait toujours des distinctions, étalées avec arrogance comme des supériorités, ou tournées en dérision comme des infériorités ?"
105,1,1988,12,12,"Tous auraient les mêmes chances, quel que fût le nombre d’hectares revendiqués par les commanditaires, ou alloués aux exploitants."
106,1,1988,12,12,"Sur Pern, il ne dépendrait que de chacun de réussir, de justifier ses exigences et de mettre en valeur autant de terre qu’il le pourrait."
107,1,1988,12,12,Telle serait la distinction universelle.
108,1,1988,12,12,"Après l’atterrissage, tout le monde sera trop occupé pour s’inquiéter de « différences », se dit-elle, regardant avec fascination des nuages, venus d’une seconde zone de basses pressions, dériver du nord invisible vers la mer."
109,1,1988,12,12,"Si les deux systèmes météorologiques se rencontraient, une tempête épouvantable éclaterait sur les îles orientales."
110,1,1988,12,12,"— Ça se présente bien, murmura le commandant Ongola de sa voix de basse triste."
111,1,1988,12,12,Emily ne l’avait pas vu sourire une seule fois depuis six mois qu’elle était réveillée.
112,1,1988,12,12,"Paul lui avait dit que la femme, les enfants et toute la famille d’Ongola avaient été vaporisés quand les Nathis avaient attaqué leur colonie de service ;"
113,1,1988,12,12,Paul lui avait expressément demandé de se joindre à l’expédition.
114,1,1988,12,12,"Assis au pupitre scientifique, Ongola monitorait les données météorologiques et atmosphériques."
115,1,1988,12,12,— Contenu atmosphérique sans surprise.
116,1,1988,12,12,Les températures du continent Méridional semblent normales pour cette fin d’hiver.
117,1,1988,12,12,"Fortes précipitations sur le continent Septentrional, dues aux basses pressions."
118,1,1988,12,12,Analyses et températures conformes au rapport de l’EEE.
