sentence_id,book,character_ids,n_characters
8,,"(718,)",1
21,1.0,"(718,)",1
22,1.0,"(262,)",1
23,1.0,"(262,)",1
31,1.0,"(274, 718)",2
32,1.0,"(274,)",1
38,1.0,"(718,)",1
40,1.0,"(262,)",1
46,1.0,"(718,)",1
49,1.0,"(718,)",1
53,1.0,"(262,)",1
67,1.0,"(718,)",1
68,1.0,"(262,)",1
71,1.0,"(262, 718)",2
74,1.0,"(262,)",1
76,1.0,"(262,)",1
79,1.0,"(718,)",1
83,1.0,"(262,)",1
111,1.0,"(262,)",1
140,1.0,"(262,)",1
141,1.0,"(262,)",1
147,1.0,"(718,)",1
161,1.0,"(935,)",1
168,1.0,"(598,)",1
176,1.0,"(298,)",1
180,1.0,"(735,)",1
186,1.0,"(512,)",1
188,1.0,"(735,)",1
189,1.0,"(512, 598)",2
190,1.0,"(298, 598)",2
195,1.0,"(512,)",1
196,1.0,"(741,)",1
200,1.0,"(922,)",1
202,1.0,"(922,)",1
204,1.0,"(741,)",1
209,1.0,"(598,)",1
211,1.0,"(512,)",1
216,1.0,"(922,)",1
220,1.0,"(598,)",1
221,1.0,"(922,)",1
223,1.0,"(598,)",1
228,1.0,"(741,)",1
233,1.0,"(735,)",1
237,1.0,"(922,)",1
241,1.0,"(303,)",1
250,1.0,"(598,)",1
254,1.0,"(922,)",1
260,1.0,"(262,)",1
261,1.0,"(262,)",1
279,1.0,"(598,)",1
281,1.0,"(262, 598, 922)",3
283,1.0,"(262,)",1
286,1.0,"(922,)",1
287,1.0,"(262,)",1
290,1.0,"(922,)",1
291,1.0,"(713,)",1
294,1.0,"(741,)",1
297,1.0,"(262, 502)",2
299,1.0,"(463,)",1
300,1.0,"(922,)",1
302,1.0,"(303,)",1
304,1.0,"(262, 502)",2
305,1.0,"(502,)",1
306,1.0,"(262,)",1
307,1.0,"(262,)",1
310,1.0,"(502,)",1
312,1.0,"(922,)",1
315,1.0,"(713,)",1
316,1.0,"(262,)",1
317,1.0,"(303, 922)",2
322,1.0,"(303, 918)",2
324,1.0,"(598,)",1
326,1.0,"(922,)",1
329,1.0,"(741,)",1
331,1.0,"(502, 598)",2
332,1.0,"(718,)",1
346,1.0,"(327,)",1
347,1.0,"(327,)",1
348,1.0,"(492,)",1
349,1.0,"(492,)",1
350,1.0,"(492,)",1
351,1.0,"(718,)",1
352,1.0,"(492,)",1
354,1.0,"(492,)",1
360,1.0,"(236, 457)",2
361,1.0,"(274, 451)",2
367,1.0,"(274,)",1
368,1.0,"(274,)",1
370,1.0,"(247, 457)",2
372,1.0,"(492,)",1
374,1.0,"(274, 451)",2
376,1.0,"(457,)",1
377,1.0,"(457,)",1
380,1.0,"(236,)",1
381,1.0,"(457,)",1
385,1.0,"(42,)",1
391,1.0,"(718,)",1
392,1.0,"(274, 451)",2
393,1.0,"(274, 451)",2
394,1.0,"(274,)",1
401,1.0,"(457,)",1
402,1.0,"(457, 718)",2
403,1.0,"(274, 451)",2
409,1.0,"(247, 718)",2
413,1.0,"(492,)",1
415,1.0,"(274,)",1
417,1.0,"(451,)",1
420,1.0,"(451,)",1
422,1.0,"(274,)",1
425,1.0,"(274,)",1
428,1.0,"(714,)",1
433,1.0,"(274,)",1
436,1.0,"(247,)",1
438,1.0,"(451,)",1
440,1.0,"(247,)",1
443,1.0,"(247,)",1
445,1.0,"(451,)",1
448,1.0,"(274, 451)",2
450,1.0,"(457,)",1
451,1.0,"(451,)",1
453,1.0,"(457,)",1
457,1.0,"(451,)",1
458,1.0,"(274,)",1
459,1.0,"(274,)",1
462,1.0,"(457,)",1
463,1.0,"(457,)",1
466,1.0,"(247,)",1
469,1.0,"(457,)",1
475,1.0,"(457,)",1
476,1.0,"(42,)",1
479,1.0,"(262,)",1
482,1.0,"(262, 718)",2
500,1.0,"(42, 70, 661)",3
503,1.0,"(42, 70)",2
504,1.0,"(42, 70)",2
505,1.0,"(42, 661)",2
508,1.0,"(42, 718)",2
513,1.0,"(42, 718)",2
515,1.0,"(42, 718)",2
532,1.0,"(713,)",1
533,1.0,"(42,)",1
536,1.0,"(42,)",1
537,1.0,"(70, 661)",2
538,1.0,"(42,)",1
556,1.0,"(42,)",1
560,1.0,"(42,)",1
572,1.0,"(935,)",1
575,1.0,"(868,)",1
576,1.0,"(868,)",1
593,1.0,"(868,)",1
601,1.0,"(868,)",1
604,1.0,"(868,)",1
611,1.0,"(868,)",1
615,1.0,"(770,)",1
618,1.0,"(129, 591, 868)",3
622,1.0,"(770,)",1
626,1.0,"(770,)",1
629,1.0,"(129, 868)",2
633,1.0,"(868,)",1
643,1.0,"(718,)",1
647,1.0,"(868,)",1
648,1.0,"(129, 770)",2
658,1.0,"(918,)",1
666,1.0,"(718,)",1
683,1.0,"(247,)",1
698,1.0,"(247, 492)",2
713,1.0,"(492,)",1
715,1.0,"(492,)",1
721,1.0,"(1018,)",1
722,1.0,"(1018,)",1
723,1.0,"(492,)",1
730,1.0,"(492,)",1
740,1.0,"(274,)",1
741,1.0,"(1018,)",1
743,1.0,"(492,)",1
746,1.0,"(492,)",1
752,1.0,"(492,)",1
753,1.0,"(1018,)",1
755,1.0,"(492,)",1
764,1.0,"(492,)",1
768,1.0,"(492,)",1
770,1.0,"(492,)",1
771,1.0,"(935,)",1
774,1.0,"(492,)",1
806,1.0,"(247, 492, 661)",3
818,1.0,"(42, 873)",2
820,1.0,"(42,)",1
824,1.0,"(543,)",1
825,1.0,"(873,)",1
827,1.0,"(42,)",1
830,1.0,"(42,)",1
832,1.0,"(718,)",1
834,1.0,"(873,)",1
837,1.0,"(42,)",1
850,1.0,"(838,)",1
851,1.0,"(838,)",1
855,1.0,"(873,)",1
856,1.0,"(42,)",1
859,1.0,"(42,)",1
864,1.0,"(738, 873)",2
867,1.0,"(873,)",1
870,1.0,"(838,)",1
873,1.0,"(42,)",1
876,1.0,"(873,)",1
881,1.0,"(873,)",1
885,1.0,"(42, 873)",2
889,1.0,"(661,)",1
891,1.0,"(492,)",1
892,1.0,"(452, 492)",2
893,1.0,"(492,)",1
898,1.0,"(492,)",1
902,1.0,"(492,)",1
903,1.0,"(452,)",1
904,1.0,"(492,)",1
909,1.0,"(492,)",1
921,1.0,"(452,)",1
922,1.0,"(718,)",1
924,1.0,"(492,)",1
926,1.0,"(718,)",1
929,1.0,"(492,)",1
931,1.0,"(492,)",1
933,1.0,"(492,)",1
940,1.0,"(262, 492, 718)",3
942,1.0,"(492,)",1
944,1.0,"(492,)",1
946,1.0,"(452,)",1
947,1.0,"(492,)",1
949,1.0,"(452,)",1
950,1.0,"(492,)",1
953,1.0,"(492,)",1
954,1.0,"(316,)",1
956,1.0,"(492,)",1
957,1.0,"(492,)",1
960,1.0,"(452, 492)",2
963,1.0,"(492,)",1
964,1.0,"(452,)",1
