Id unique,aliases,phrase,sentence_id,book,mots_cibles,alias_trouves_dans_phrase
6,Adessa,Ne me dis pas que cette chère Dame Adessa est morte.,60657,7.0,mourir,adessa
14,Alemi Onclemi Lemi | Alemi Onclemi | Onclemi Lemi | Alemi Lemi | Onclemi | Alemi | Lemi,"La côte avait disparu dans la soudaine obscurité amenée par la tempête, mais Alemi s’inquiétait plus encore du danger d’être pris dans le Grand Courant, qui pouvait les entraîner au grand large, ou les fracasser sur la pointe dominant la Baie de la Rivière Paradis.",11117,2.0,disparaitre,alemi
14,Alemi Onclemi Lemi | Alemi Onclemi | Onclemi Lemi | Alemi Lemi | Onclemi | Alemi | Lemi,"Tous les six repartirent vers le large, sautant et plongeant gracieusement, et Menolly et Alemi les suivirent des yeux jusqu’à ce qu’ils aient disparu.",13333,2.0,disparaitre,alemi
14,Alemi Onclemi Lemi | Alemi Onclemi | Onclemi Lemi | Alemi Lemi | Onclemi | Alemi | Lemi,"— Je ne connaissais presque rien de la vie des bandes, et je tenais de Menolly le peu que j’en savais, dit Sebell, alors j’ai conféré avec Alemi, qui m’a dit que tu avais disparu et pourquoi.",18631,2.0,disparaitre,alemi
15,Alemi,"La côte avait disparu dans la soudaine obscurité amenée par la tempête, mais Alemi s’inquiétait plus encore du danger d’être pris dans le Grand Courant, qui pouvait les entraîner au grand large, ou les fracasser sur la pointe dominant la Baie de la Rivière Paradis.",11117,2.0,disparaitre,alemi
15,Alemi,"Tous les six repartirent vers le large, sautant et plongeant gracieusement, et Menolly et Alemi les suivirent des yeux jusqu’à ce qu’ils aient disparu.",13333,2.0,disparaitre,alemi
15,Alemi,"— Je ne connaissais presque rien de la vie des bandes, et je tenais de Menolly le peu que j’en savais, dit Sebell, alors j’ai conféré avec Alemi, qui m’a dit que tu avais disparu et pourquoi.",18631,2.0,disparaitre,alemi
16,Alessan,"Puis, ce fut le phénomène qu’Alessan attendait : la reine lumineuse et la jolie Dame du Weyr disparurent.",29904,4.0,disparaitre,alessan
16,Alessan,"– et ne pouvait pas être dans la terre du champ de courses et des piquets où tant de bêtes étaient mortes, mais Alessan ne voulait pas risquer les rares étalons inestimables que Dag avait emmenés en toute hâte le lendemain de cette maudite Fête.",34474,4.0,mourir,alessan
16,Alessan,Alessan les regarda s’éloigner jusqu’à ce que les paniers de brandons disparaissent à un détour du chemin.,35009,4.0,disparaitre,alessan
16,Alessan,"Me retournant, je vis Alessan, la main en visière sur le front, qui les suivait des yeux jusqu’à ce qu’ils disparaissent dans l’Interstice.",39002,5.0,disparaitre,alessan
16,Alessan,"Suriana : défunte épouse d’Alessan, Seigneur Régnant du Fort de Ruatha.",50412,6.0,defunt,alessan
27,Anella,"La courtoisie que nous avait inculquée notre défunte mère était chez nous devenue instinctive, au point qu’il nous fut impossible de nous montrer impolis, malgré la provocation que constituaient la présence et l’attitude d’Anella.",38167,5.0,defunt,anella
27,Anella,"Anella, vêtue d’une lourde robe de brocart, totalement déplacée en ce soir de deuil et pour un dîner familial, monta les trois marches du dais et se dirigea d’un pas ferme vers le fauteuil de ma mère.",38191,5.0,deuil,anella
28,Anguille,"Le rapport d’Anguille précisait que non seulement le Seigneur, sa Dame et leurs enfants avaient été tués, mais aussi toute personne connue pour avoir du Sang de la Lignée.",60716,7.0,tuer,anguille
31,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara,"sans savoir pourquoi, il était sûr que Thella chercherait à enlever Aramina – ne fût-ce que pour la tuer.",44875,6.0,tuer,aramina
31,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara,"Furieuse qu’on ait laissé croire à Benden qu’Aramina était morte, Lessa ne demandait quand même pas mieux que d’apprendre ce qu’elle avait dit au Harpiste.",48045,6.0,mourir,aramina
31,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara,"Aramina avait été sauvée, et elle vivait saine et sauve dans le Sud, dans le confort et le prestige, tandis qu’elle, Thella, avait failli mourir d’une infection pernicieuse et débilitante qui lui avait laissé d’affreuses cicatrices sur le visage.",48137,6.0,mourir,aramina
33,Armald,"— Eh bien, Armald est mort maintenant, tu as bien fait ta part, et tu dis que ta tante et le quatrième homme qui l’a vue ce jour-là ont failli être tués aussi.",44243,6.0,tuer,armald
42,Avril Bitra | Avril | Bitra,"Le lendemain matin, Stev ne fut pas surpris outre mesure de constater qu’Avril et le plus grand traîneau avaient disparu.",5253,1.0,disparaitre,avril
42,Avril Bitra | Avril | Bitra,Elle vit Avril prendre une courte barre métallique sur la pile et disparaître à son tour.,6011,1.0,disparaitre,avril
42,Avril Bitra | Avril | Bitra,Avril dit qu’elle a tué Ongola et Kenjo.,6439,1.0,tuer,avril
42,Avril Bitra | Avril | Bitra,"Il fait mauvais temps à Bitra, et les gens meurent de froid parce qu’ils ne veulent pas franchir les frontières, annonça M’shall.",22808,3.0,mourir,bitra
53,B’zon,"T’kul sur Salth, et B’zon sur Ranilth avaient disparu du Weyr Méridional.",46463,6.0,disparaitre,b’zon
53,B’zon,si B’zon ne meurt pas.,103214,13.0,mourir,b’zon
58,Ballora,"— Parce que nous mourons quand nous sommes usés, dit Ballora avec détachement.",130745,15.0,mourir,ballora
58,Ballora,"— L’odeur ne te tuera pas, dit Ballora.",130766,15.0,tuer,ballora
67,Barly,"Barly (décédé) : guérisseur, Weyr des Hautes Terres.",50193,6.0,deceder,barly
83,Bendarek,"Maintenant, la dépouille mortelle de Sallah Telgar reposait dans un cercueil des plus beaux bois de Maître Bendarek.",112015,14.0,depouille,bendarek
96,Betrice,"— Je vais te montrer le chemin, dit Gennell, et, suivi du Seigneur Halibran, flanqué de Betrice et Ginia, ils disparurent dans l’Atelier.",51767,7.0,disparaitre,betrice
96,Betrice,Robinton résidait à l’Atelier quand Betrice mourut subitement d’un arrêt cardiaque.,58891,7.0,mourir,betrice
113,Boskoney,Boskoney avait chanté une ballade très émouvante sur l’enterrement en mer d’un autre harpiste ;,15536,2.0,enterrement,boskoney
118,Brand,"Aucun besoin de s’approprier Kylara, la sœur de Larad, qui attendait avec impatience une alliance bien différente avec Brand d’Igen, et qui, le lendemain, avait disparu après cette Quête ridicule.",65330,8.0,disparaitre,brand
119,Brare,"Mais alors, qui avait tué le vieux Brare ?",45280,6.0,tuer,brare
