ID unique,Noms humains,Second nom,Troisième nom,Quatrième nom,ID unique,aliases
6,Adessa,,,,6,Adessa
33,Armald,,,,33,Armald
49,B’ner,,,,49,B’ner
67,Barly,,,,67,Barly
88,Berchar,Berch,,,88,Berchar Berch | Berchar | Berch
96,Betrice,,,,96,Betrice
119,Brare,,,,119,Brare
143,C’gan,,,,143,C’gan
151,Caesar,Galliani,,,151,Caesar Galliani | Galliani | Caesar
162,Carola,,,,162,Carola
164,Catherine,Radelin,Doyle,,164,Catherine Radelin Doyle | Catherine Radelin | Catherine Doyle | Radelin Doyle | Catherine | Radelin | Doyle
167,Ch’mon,,,,167,Ch’mon
246,Dowell,,,,246,Dowell
269,Esselin,,,,269,Esselin
279,F’lon,Falloner,,,279,F’lon Falloner | Falloner | F’lon
291,Fanna,,,,291,Fanna
293,Farevene,,,,293,Farevene
296,Faroguy,,,,296,Faroguy
298,Fax,,,,298,Fax
335,G’lanar,,,,335,G’lanar
364,Gemma,,,,364,Gemma
366,Gennell,,,,366,Gennell
373,Gledia,,,,373,Gledia
386,Grogellan,,,,386,Grogellan
451,Jim,Tillek,James,,451,Jim Tillek James | Tillek James | Jim Tillek | Jim James | Tillek | James | Jim
461,Jora,,,,461,Jora
467,K’dall,,,,467,K’dall
477,Kale,,,,477,Kale
487,Kasia,,,,487,Kasia
492,Kenjo,Fusaiyuki,,,492,Kenjo Fusaiyuki | Fusaiyuki | Kenjo
501,Kista,,,,501,Kista
516,L’mal,,,,516,L’mal
533,Larna,Lama,,,533,Larna Lama | Larna | Lama
569,Lucy,Tubberman,,,569,Lucy Tubberman | Tubberman | Lucy
577,M’odon,,,,577,M’odon
590,Maidir,,,,590,Maidir
604,Marco,Galliani,,,604,Marco Galliani | Galliani | Marco
614,Matsen,,,,614,Matsen
625,Mercia,,,,625,Mercia
627,Merelan,,,,627,Merelan
629,Merin,,,,629,Merin
630,Meron,,,,630,Meron
637,Milla,,,,637,Milla
643,Moreta,Moretta,,,643,Moreta Moretta | Moretta | Moreta
686,Norman,,,,686,Norman
723,Pendra,,,,723,Pendra
734,Petiron,,,,734,Petiron
779,Robinton,Rob,Robie,,779,Robinton Rob Robie | Robinton Robie | Robinton Rob | Rob Robie | Robinton | Robie | Rob
787,Runel,,,,787,Runel
797,S’loner,,,,797,S’loner
807,Sallah,,,,807,Sallah
853,Silma,,,,853,Silma
873,Stev,Kimmer,,,873,Stev Kimmer | Kimmer | Stev
881,Suriana,,,,881,Suriana
893,T’kul,T’kull,,,893,T’kul T’kull | T’kull | T’kul
904,T’ron,,,,904,T’ron
913,Talpan,,,,913,Talpan
915,Tarathel,,,,915,Tarathel
922,Ted ,Tubberman,Tubbermann,,922,Ted Tubberman Tubbermann | Tubberman Tubbermann | Ted Tubbermann | Ted Tubberman | Tubbermann | Tubberman | Ted
933,Thella,,,,933,Thella
969,Trume,,,,969,Trume
990,Varena,Vanira,Nanira,,990,Varena Vanira Nanira | Vanira Nanira | Varena Nanira | Varena Vanira | Nanira | Vanira | Varena
991,Varney,,,,991,Varney
1,A. C.,Sopers,,,1,A. C. Sopers | Sopers | A. C.
2,A’dan,,,,2,A’dan
3,A’murry,,,,3,A’murry
4,Abula,,,,4,Abula
5,Abuna,,,,5,Abuna
7,Adrea,Beljeth,,,7,Adrea Beljeth | Beljeth | Adrea
8,Afnor,,,,8,Afnor
9,Aida,,,,9,Aida
10,Aisling,Hempenstahl,,,10,Aisling Hempenstahl | Hempenstahl | Aisling
11,Albuna,,,,11,Albuna
12,Alda,,,,12,Alda
13,Aleki,,,,13,Aleki
15,Alemi,,,,15,Alemi
14,Alemi,Onclemi,Lemi,,14,Alemi Onclemi Lemi | Alemi Onclemi | Onclemi Lemi | Alemi Lemi | Onclemi | Alemi | Lemi
16,Alessan,,,,16,Alessan
17,Alianne,Zulueta,,,17,Alianne Zulueta | Alianne | Zulueta
18,Aliena,Zuleita,,,18,Aliena Zuleita | Zuleita | Aliena
19,Almie,,,,19,Almie
20,Amilla,,,,20,Amilla
21,Ampris,,,,21,Ampris
22,Anama,,,,22,Anama
23,Anchoran,,,,23,Anchoran
24,Andemon,,,,24,Andemon
25,Ander,,,,25,Ander
26,Andremon,,,,26,Andremon
27,Anella,,,,27,Anella
28,Anguille,,,,28,Anguille
29,Anskono,,,,29,Anskono
30,Anta,,,,30,Anta
31,Aramina,Mina,Ara,,31,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara
32,Aranya,,,,32,Aranya
34,Arminet,,,,34,Arminet
35,Armor,,,,35,Armor
36,Arnor,,,,36,Arnor
37,Arthied,Desi,,,37,Arthied Desi | Arthied | Desi
38,Asgenar,,,,38,Asgenar
39,Ashmichel,,,,39,Ashmichel
40,Athpathis,,,,40,Athpathis
41,Audiva,,,,41,Audiva
42,Avril,Bitra,,,42,Avril Bitra | Avril | Bitra
43,Azury,,,,43,Azury
44,B’dor,,,,44,B’dor
45,B’fol,,,,45,B’fol
46,B’greal,,,,46,B’greal
47,B’lerion,,,,47,B’lerion
48,B’naj,,,,48,B’naj
50,B’nurrin,,,,50,B’nurrin
51,B’rant,,,,51,B’rant
52,B’refli,,,,52,B’refli
53,B’zon,,,,53,B’zon
54,Bahka,,,,54,Bahka
55,Baid,,,,55,Baid
56,Baldor,,,,56,Baldor
57,Balfor,,,,57,Balfor
58,Ballora,,,,58,Ballora
59,Banak,,,,59,Banak
60,Bandarek,,,,60,Bandarek
61,Banger,,,,61,Banger
62,Bantur,,,,62,Bantur
63,Barba,,,,63,Barba
64,Bardie,,,,64,Bardie
