Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Adessa,,,,FEMME,6,True,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Armald,,,,HOMME,33,True,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25
B’ner,,,,HOMME,49,True,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
Barly,,,,HOMME,67,True,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
Berchar,Berch,,,HOMME,88,True,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,41
Betrice,,,,FEMME,96,True,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,73
Brare,,,,HOMME,119,True,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24
C’gan,,,,HOMME,143,True,0,0,0,0,0,0,50,17,2,0,0,0,0,0,0,69
Caesar,Galliani,,,HOMME,151,True,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Carola,,,,FEMME,162,True,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19
Catherine,Radelin,Doyle,,FEMME,164,True,21,1,0,0,0,0,0,0,0,0,0,0,0,13,10,45
Ch’mon,,,,HOMME,167,True,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Dowell,,,,FEMME,246,True,0,0,0,0,0,53,0,0,0,0,0,0,0,2,0,55
Esselin,,,,HOMME,269,True,0,0,0,0,0,29,0,0,0,0,0,0,0,44,32,105
F’lon,Falloner,,,HOMME,279,True,0,0,0,0,0,0,438,7,0,0,0,0,0,0,0,445
Fanna,,,,FEMME,291,True,0,0,0,0,0,1,0,0,5,0,0,0,8,0,0,14
Farevene,,,,HOMME,293,True,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16
Faroguy,,,,HOMME,296,True,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41
Fax,,,,HOMME,298,True,11,3,0,0,0,28,252,251,4,0,0,1,6,4,3,563
