full_name,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15
Adessa 6,0.0,0.0,0.0,0.0,0.0,0.0,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armald 33,0.0,0.0,0.0,0.0,0.0,0.004249532551419344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B’ner 49,0.0,0.0,0.002446782481037436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barly 67,0.0,0.0,0.0,0.00024912805181863477,0.0,5.666043401892458e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berchar Berch 88,0.0,0.0,0.0,0.0072915527361551635,0.0,4.145885416018872e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Betrice 96,0.0,0.0,0.0,0.0,0.0,0.0,0.01146356783919598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brare 119,0.0,0.0,0.0,0.0,0.0,0.00407955124936257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C’gan 143,0.0,0.0,0.0,0.0,0.0,0.0,0.005689680285485397,0.0013195985498114207,9.986393538803381e-06,0.0,0.0,0.0,0.0,0.0,0.0
Caesar Galliani 151,0.002016709881878421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carola 162,0.0,0.0,0.0,0.0,0.0,0.0,0.0029836683417085426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catherine Radelin Doyle 164,0.0014116969173148949,5.835667600373482e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005531824356393512,0.00041583499667332
Ch’mon 167,0.0,0.0,0.0,0.0005605381165919282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dowell 246,0.0,0.0,0.0,0.0,0.0,0.008681408681408681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.071251623615742e-05,0.0
Esselin 269,0.0,0.0,0.0,0.0,0.0,0.001361469285997588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002715877925776291,0.0018249215854006277
F’lon Falloner 279,0.0,0.0,0.0,0.0,0.0,0.0,0.06769945231776862,3.469198473552672e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fanna 291,0.0,0.0,0.0,0.0,0.0,1.2141521575483839e-05,0.0,0.0,0.00030761658668635415,0.0,0.0,0.0,0.0007647086937819623,0.0,0.0
Farevene 293,0.0,0.0,0.0,0.0,0.0,0.0,0.002512562814070352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroguy 296,0.0,0.0,0.0,0.0,0.0,0.0,0.0064384422110552765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fax 298,3.0959387935459146e-05,4.197949161902772e-06,0.0,0.0,0.0,0.00023670575632772758,0.017712898417487077,0.03525592597939967,4.895638750816577e-06,0.0,0.0,6.60051629238439e-07,1.069641378957896e-05,4.186063182867909e-06,2.9913529956073643e-06
G’lanar 335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005008101340403594,0.0
Gemma 364,0.0,0.0,0.0,0.0,0.0,2.2365960796943914e-06,0.00046490677069558315,0.013000364806155273,9.066594133913594e-06,0.0,0.0,0.0,8.804211934989699e-06,0.0,0.0
Gennell 366,0.0,0.0,0.0,0.0,0.0,0.0,0.030464824120603015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gledia 373,0.0,0.0,0.0,0.0,0.0,0.000679925208227095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grogellan 386,0.0,0.0,0.0,0.0,0.0,0.0,0.0051821608040201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jim Tillek James 451,0.004275336979685552,0.00406536660465713,0.0001052178725942307,0.00020966692910690446,5.2056654298005605e-05,5.233521004801431e-05,0.0014384901607273006,3.9282272792135846e-05,0.0003436539089536308,1.3184089440862767e-06,6.668830331618703e-06,3.7822805828116154e-06,2.7241531076202226e-05,0.0004591321764701693,8.046883332571498e-05
Jora 461,0.0,0.0,0.0,0.0,0.0,0.0,0.0030001983602221637,0.0031837628096706796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K’dall 467,0.0,0.0,0.0,9.342301943198804e-05,0.0,8.499065102838688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kale 477,0.0,0.0,0.0,0.0,0.0,9.378278734166828e-05,0.003384378790504245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasia 487,0.0,0.0,0.0,0.0,0.0,0.0,0.031092964824120602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenjo Fusaiyuki 492,0.023465706737282162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.133980813769458e-06,0.00012043731685565041
Kista 501,0.0,0.0,0.0,0.0,0.0010911074740861974,5.666043401892458e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L’mal 516,0.0,0.0,0.0,0.0035589721688376393,0.0,8.094347716989226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larna Lama 533,0.0,0.0,0.0,0.0,0.0,0.0,0.0021984924623115578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucy Tubberman 569,0.011742407011478568,0.0,4.1208968101683124e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772770248975733e-05
M’odon 577,0.0,0.0,0.0,0.0,0.0,0.0,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maidir 590,0.0,0.0,0.0,0.0,0.0,0.0,0.007223618090452261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Galliani 604,0.004033419763756842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matsen 614,0.0,0.0,0.0,0.0,0.0,0.0,0.001727386934673367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercia 625,0.0,0.0,0.0,0.0,0.0004091653027823241,8.499065102838688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merelan 627,0.0,0.0,0.0,0.0,0.0,0.0,0.05260863684202725,0.0,0.0,0.0,3.436054172830089e-06,0.0,0.0,0.0,0.0
Merin 629,0.0,0.0,0.0,0.0,0.0010911074740861974,5.666043401892458e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meron 630,0.0,0.0,0.0,0.0,0.0,2.833021700946229e-05,0.0,0.0008401596303297626,0.011649000685545535,0.0,9.904952079841838e-07,0.01474302095420108,3.641469970390297e-05,5.010105382556617e-07,0.0
Milla 637,0.0,0.0,0.00032623766413832474,0.0,0.0,0.0,5.234505862646566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moreta Moretta 643,0.0,0.0,0.0,0.19708299432997167,0.0011608554835056317,2.2951061881083375e-06,1.1926722218688379e-06,1.3027791736126066e-05,1.4537155151422642e-07,0.0,1.5727559353105826e-05,0.0,0.0,0.0,1.4212082164784355e-06
Norman 686,0.0,0.0,0.0,0.004696922839028916,2.8218296743608557e-05,5.8614242088542675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pendra 723,0.0,0.0,0.0,0.002174208452235358,0.0009299211426871002,7.726422820762444e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petiron 734,0.0,5.335091147068308e-06,0.0,0.0,0.0,0.0,0.031690974624817084,0.0,0.0,0.006579024316073872,0.0028634120881215726,0.0,0.0,0.0,0.0
Robinton Rob Robie 779,0.0,0.00016447250859515905,0.0,0.0,0.0,0.0021660446951062206,0.13729050697205905,0.0002604804524427546,0.0020726537523868415,0.00016982243565918573,0.0019836161971406533,0.0010747899334085402,0.009905377462376698,0.009304064852820046,5.777713073993776e-05
Runel 787,0.0,0.0,0.0,0.00321197238237597,3.8968124074507054e-05,8.094347716989226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S’loner 797,0.0,0.0,0.0,0.0,0.0,0.0,0.009265075376884422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sallah 807,0.039278128740433356,0.0,0.0,0.0,0.0,5.362186184756269e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022489525410608087,0.0
Silma 853,0.0,0.0,0.0,0.0,0.0010911074740861974,5.666043401892458e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stev Kimmer 873,0.009489740388616793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003513805721889554
Suriana 881,0.0,0.0,0.0,8.792754770069463e-05,0.020241648214113797,4.999450060493346e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T’kul T’kull 893,0.0,0.0,0.0,0.0,0.0,0.00042319482787927815,0.0,0.0,0.004566812201134575,0.0,0.0,4.100513845641282e-05,0.004153159285195141,0.0,0.0
T’ron 904,0.0,0.0,0.0,0.0,0.0,9.509443471707622e-06,0.0,0.002331002331002331,0.02337567686404896,0.0,0.0,0.00037550706447027517,0.00023395807939133466,2.0600992761841194e-06,0.0
Talpan 913,0.0,0.0,0.0,0.005797889205960955,0.0,5.150948547174962e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarathel 915,0.0,0.0,0.0,0.0,0.0,0.0001423099273033455,0.004999561762299871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ted Tubberman Tubbermann 922,0.015058100451358879,0.0,5.0974635021613246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403443113772455e-05
Thella 933,0.0,3.3032080756831034e-06,0.0,0.0,0.0,0.05303897703328105,4.938213077968459e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trume 969,0.0,0.0,0.0,0.00024912805181863477,0.0,5.666043401892458e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varena Vanira Nanira 990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010335917312661498,0.0,0.0,0.0,0.0,0.0,0.0
Varney 991,0.0,0.0,0.0,0.00024912805181863477,0.0,5.666043401892458e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. C. Sopers 1,0.00014405070584845865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A’dan 2,0.0,0.0,0.0,0.005051286016184733,0.0,5.8614242088542675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A’murry 3,0.0,0.0,0.0,0.0037454137790460663,0.0,7.726422820762444e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abula 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029120559114735004,0.0,0.0,0.0,0.0
