full_name,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15
Adessa 6,0.0,0.0,0.0,0.0,0.0,0.0,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armald 33,0.0,0.0,0.0,0.0,0.0,0.004249532551419344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B’ner 49,0.0,0.0,0.002446782481037436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barly 67,0.0,0.0,0.0,0.0003736920777279522,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berchar Berch 88,0.0,0.0,0.0,0.007473841554559043,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Betrice 96,0.0,0.0,0.0,0.0,0.0,0.0,0.01146356783919598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brare 119,0.0,0.0,0.0,0.0,0.0,0.00407955124936257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C’gan 143,0.0,0.0,0.0,0.0,0.0,0.0,0.007851758793969849,0.005356017643352237,0.0003445305770887166,0.0,0.0,0.0,0.0,0.0,0.0
Caesar Galliani 151,0.002016709881878421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carola 162,0.0,0.0,0.0,0.0,0.0,0.0,0.0029836683417085426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catherine Radelin Doyle 164,0.003025064822817632,0.0002626050420168067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001914862277213139,0.0018712574850299401
Ch’mon 167,0.0,0.0,0.0,0.0005605381165919282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dowell 246,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002945941964943291,0.0
Esselin 269,0.0,0.0,0.0,0.0,0.0,0.004929457759646439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00648107232287524,0.005988023952095809
F’lon Falloner 279,0.0,0.0,0.0,0.0,0.0,0.0,0.06878140703517588,0.002205419029615627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fanna 291,0.0,0.0,0.0,0.0,0.0,0.00016998130205677376,0.0,0.0,0.0008613264427217916,0.0,0.0,0.0,0.0013382402141184342,0.0,0.0
Farevene 293,0.0,0.0,0.0,0.0,0.0,0.0,0.002512562814070352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroguy 296,0.0,0.0,0.0,0.0,0.0,0.0,0.0064384422110552765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fax 298,0.0015845577643330453,0.0007878151260504202,0.0,0.0,0.0,0.004759476457589665,0.03957286432160804,0.0790800252047889,0.0006890611541774332,0.0,0.0,0.0003716090672612412,0.0010036801605888257,0.0005891883929886581,0.000561377245508982
G’lanar 335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005008101340403594,0.0
Gemma 364,0.0,0.0,0.0,0.0,0.0,0.00016998130205677376,0.0023555276381909546,0.017643352236925015,0.0003445305770887166,0.0,0.0,0.0,0.00033456005352960856,0.0,0.0
Gennell 366,0.0,0.0,0.0,0.0,0.0,0.0,0.030464824120603015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gledia 373,0.0,0.0,0.0,0.0,0.0,0.000679925208227095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grogellan 386,0.0,0.0,0.0,0.0,0.0,0.0,0.0051821608040201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jim Tillek James 451,0.015557476231633534,0.020483193277310924,0.0031808172253486667,0.003923766816143498,0.004091653027823241,0.0018697943226245112,0.009422110552763818,0.002205419029615627,0.0048234280792420325,0.0005181347150259067,0.0008736167734420501,0.0007432181345224824,0.0013382402141184342,0.005155398438650758,0.0024326347305389222
Jora 461,0.0,0.0,0.0,0.0,0.0,0.0,0.0051821608040201,0.007561436672967864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K’dall 467,0.0,0.0,0.0,0.0001868460388639761,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kale 477,0.0,0.0,0.0,0.0,0.0,0.000679925208227095,0.003925879396984924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasia 487,0.0,0.0,0.0,0.0,0.0,0.0,0.031092964824120602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenjo Fusaiyuki 492,0.025208873523480266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002945941964943291,0.0020583832335329343
Kista 501,0.0,0.0,0.0,0.0,0.0016366612111292963,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L’mal 516,0.0,0.0,0.0,0.0037369207772795215,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larna Lama 533,0.0,0.0,0.0,0.0,0.0,0.0,0.0021984924623115578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucy Tubberman 569,0.012676462114664363,0.0,0.0009787129924149743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000561377245508982
M’odon 577,0.0,0.0,0.0,0.0,0.0,0.0,0.000628140703517588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maidir 590,0.0,0.0,0.0,0.0,0.0,0.0,0.007223618090452261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Galliani 604,0.004033419763756842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matsen 614,0.0,0.0,0.0,0.0,0.0,0.0,0.001727386934673367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercia 625,0.0,0.0,0.0,0.0,0.0008183306055646482,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merelan 627,0.0,0.0,0.0,0.0,0.0,0.0,0.05292085427135678,0.0,0.0,0.0,0.0005824111822947001,0.0,0.0,0.0,0.0
Merin 629,0.0,0.0,0.0,0.0,0.0016366612111292963,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meron 630,0.0,0.0,0.0,0.0,0.0,0.0011898691143974163,0.0,0.008821676118462508,0.02428940568475452,0.0,0.00029120559114735004,0.04013377926421405,0.0013382402141184342,0.00014729709824716454,0.0
Milla 637,0.0,0.0,0.0004893564962074871,0.0,0.0,0.0,0.000157035175879397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moreta Moretta 643,0.0,0.0,0.0,0.20889387144992527,0.03355155482815057,0.000679925208227095,0.00047110552763819093,0.002205419029615627,0.0001722652885443583,0.0,0.0023296447291788003,0.0,0.0,0.0,0.000561377245508982
Norman 686,0.0,0.0,0.0,0.005044843049327354,0.0008183306055646482,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pendra 723,0.0,0.0,0.0,0.0029895366218236174,0.004091653027823241,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petiron 734,0.0,0.0007878151260504202,0.0,0.0,0.0,0.0,0.0469535175879397,0.0,0.0,0.038860103626943004,0.0192195690157251,0.0,0.0,0.0,0.0
Robinton Rob Robie 779,0.0,0.012342436974789915,0.0,0.0,0.0,0.036036036036036036,0.2757537688442211,0.017013232514177693,0.03548664944013781,0.017616580310880828,0.04513686662783926,0.03753251579338536,0.07644697223151556,0.06952423037266166,0.0061751497005988025
Runel 787,0.0,0.0,0.0,0.0035500747384155456,0.0008183306055646482,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S’loner 797,0.0,0.0,0.0,0.0,0.0,0.0,0.009265075376884422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sallah 807,0.04235090751944685,0.0,0.0,0.0,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324053616143762,0.0
Silma 853,0.0,0.0,0.0,0.0,0.0016366612111292963,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stev Kimmer 873,0.011091904350331317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024326347305389222
Suriana 881,0.0,0.0,0.0,0.0007473841554559044,0.023731587561374796,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T’kul T’kull 893,0.0,0.0,0.0,0.0,0.0,0.0032296447390787013,0.0,0.0,0.010680447889750215,0.0,0.0,0.0014864362690449647,0.010036801605888258,0.0,0.0
T’ron 904,0.0,0.0,0.0,0.0,0.0,0.000679925208227095,0.0,0.014492753623188406,0.033936261843238585,0.0,0.0,0.0063173541434411,0.0033456005352960855,0.0002945941964943291,0.0
Talpan 913,0.0,0.0,0.0,0.005979073243647235,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarathel 915,0.0,0.0,0.0,0.0,0.0,0.0010198878123406426,0.0058103015075376884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ted Tubberman Tubbermann 922,0.01613367905502737,0.0,0.001223391240518718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000561377245508982
Thella 933,0.0,0.0005252100840336134,0.0,0.0,0.0,0.05354411014788373,0.000157035175879397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trume 969,0.0,0.0,0.0,0.0003736920777279522,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varena Vanira Nanira 990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010335917312661498,0.0,0.0,0.0,0.0,0.0,0.0
Varney 991,0.0,0.0,0.0,0.0003736920777279522,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. C. Sopers 1,0.00014405070584845865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A’dan 2,0.0,0.0,0.0,0.00523168908819133,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A’murry 3,0.0,0.0,0.0,0.003923766816143498,0.0,0.00016998130205677376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abula 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029120559114735004,0.0,0.0,0.0,0.0
Abuna 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005824111822947,0.0011148272017837235,0.0,0.0,0.0
