sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text
1,La Ballade de Pern,,,4,4,8,SCIENCE
2,La Ballade de Pern,,,4,4,8,-FICTION
3,La Ballade de Pern,,,4,4,8,Collection dirigée par Bénédicte Lombardo ANNE
4,La Ballade de Pern,,,4,4,8,McCAFFREY
5,La Ballade de Pern,,,4,4,8,La ballade de Pern Intégrale
6,La Ballade de Pern,,,4,4,8,Traduction de l'américain par Simone Hilling
7,La Ballade de Pern,,,4,4,8,SCIENCE
8,La Ballade de Pern,,,4,4,8,-FICTION
9,La Ballade de Pern,,,4,4,8,Collection dirigée par Bénédicte Lombardo ANNE
10,La Ballade de Pern,,,4,4,8,McCAFFREY
11,La Ballade de Pern,,,4,4,8,La Ballade de Pern
12,La Ballade de Pern,,,4,4,8,-
13,La Ballade de Pern,,,4,4,8,Tome 1 L'AUBE DES DRAGONS
14,La Ballade de Pern,,,4,4,8,Traduction de l'américain par Simone Hilling Première partie TERMINUS
15,La Ballade de Pern,,,4,4,8,"— Les rapports de la sonde commencent à arriver, amiral, annonça Sallah Telgar, sans détourner les yeux des points lumineux scintillant sur son terminal."
16,La Ballade de Pern,,,4,4,8,"— Sur l'écran, s'il vous plaît, Mistress Telgar, répliqua l'amiral Benden."
17,La Ballade de Pern,,,4,4,8,"Près de lui, appuyée contre son fauteuil de commandant, Emily Boll fixait intensément la planète baignée de soleil, à peine consciente de l'activité régnant autour d'elle."
18,La Ballade de Pern,,,4,4,8,"L'Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination."
19,La Ballade de Pern,,,4,4,8,"Dans les bureaux situés sous la passerelle de commandement, les spécialistes attendaient impatiemment la mise à jour des rapports de l'équipe de l'Expédition d'Exploration et d'Évaluation, qui, deux cents ans plus tôt, avait recommandé pour la colonisation la troisième planète de Rukbat."
20,La Ballade de Pern,,,4,4,8,"Le long voyage jusqu'au secteur du Sagittaire s'était passé sans encombre, dans une monotonie rompue une seule fois par l'émotion due à la découverte du nuage d'Oort entourant le système de Rukbat."
21,La Ballade de Pern,,,4,4,8,"Ce phénomène avait continué à passionner les scientifiques et les techniciens, mais Paul Benden s'en était désintéressé quand Ezra Keroon, capitaine du Bahrain et astronome de l'expédition, lui eut assuré que ce n'était rien de plus qu'une curiosité astronomique."
