Id unique,NOMS HUMAINS,SECOND NOM,TROISIEME NOM,aliases
1.0,Kenjo,Fusaiyuki,,Kenjo Fusaiyuki | Fusaiyuki | Kenjo
2.0,Abula,,,Abula
3.0,Abuna,,,Abuna
4.0,Adessa,,,Adessa
5.0,Adrea,Beljeth,,Adrea Beljeth | Beljeth | Adrea
6.0,Aida,,,Aida
7.0,Alda,,,Alda
8.0,Alianne,Zulueta,,Alianne Zulueta | Alianne | Zulueta
9.0,Aliena,Zuleita,,Aliena Zuleita | Zuleita | Aliena
10.0,Almie,,,Almie
11.0,Amiana,,,Amiana
12.0,Amilla,,,Amilla
13.0,Anama,,,Anama
14.0,Anella,,,Anella
15.0,Aramina,Mina,Ara,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara
16.0,Aranya,,,Aranya
17.0,Audiva,,,Audiva
18.0,Avril,Bitra,,Avril Bitra | Avril | Bitra
19.0,Ballora,,,Ballora
20.0,Bana,,,Bana
21.0,Barba,,,Barba
22.0,Bardie,,,Bardie
23.0,Barla,,,Barla
24.0,Barr,Hamil,,Barr Hamil | Hamil | Barr
25.0,Bay,Harkenon,,Bay Harkenon | Harkenon | Bay
26.0,Bedda,,,Bedda
27.0,Bedella,,,Bedella
28.0,Benoria,,,Benoria
29.0,Bessera,,,Bessera
30.0,Bethany,,,Bethany
31.0,Betrice,,,Betrice
32.0,Betty,Musgrave,Blake,Betty Musgrave Blake | Betty Musgrave | Musgrave Blake | Betty Blake | Musgrave | Betty | Blake
33.0,Bonna,,,Bonna
34.0,Boranda,,,Boranda
35.0,Brashia,,,Brashia
36.0,Breda,,,Breda
37.0,Brekke,Brekker,,Brekke Brekker | Brekker | Brekke
37.0,Brekke,,,Brekke
37.0,Brekke,,,Brekke
38.0,Briala,,,Briala
39.0,Brinna,,,Brinna
40.0,Campila,,,Campila
41.0,Cara,,,Cara
42.0,Carol,Duff,Vassaloe,Carol Duff Vassaloe | Carol Vassaloe | Duff Vassaloe | Carol Duff | Vassaloe | Carol | Duff
43.0,Carola,,,Carola
44.0,Catherine,Radelin,Doyle,Catherine Radelin Doyle | Catherine Radelin | Catherine Doyle | Radelin Doyle | Catherine | Radelin | Doyle
45.0,Cathy,,,Cathy
46.0,Celina,,,Celina
47.0,Chaila,Zavior,Kimmage,Chaila Zavior Kimmage | Chaila Kimmage | Zavior Kimmage | Chaila Zavior | Kimmage | Chaila | Zavior
48.0,Chenoa,,,Chenoa
49.0,Cherry,Duff,,Cherry Duff | Cherry | Duff
50.0,Chio-Chio,,,Chio-Chio
51.0,Clargesh,,,Clargesh
52.0,Corana,,,Corana
53.0,Cosira,,,Cosira
54.0,Curella,,,Curella
55.0,Dalma,,,Dalma
56.0,Dalova,,,Dalova
56.0,Dalova,,,Dalova
57.0,Danegga,,,Danegga
58.0,Danja,,,Danja
59.0,Debera,Deb,,Debera Deb | Debera | Deb
60.0,Deelan,,,Deelan
61.0,Delart,,,Delart
62.0,Desdra,,,Desdra
63.0,Diona,,,Diona
64.0,Dowell,,,Dowell
65.0,Dresda,,,Dresda
66.0,Dulsay,,,Dulsay
67.0,Dunca,,,Dunca
68.0,Duras,,,Duras
69.0,Durras,,,Durras
70.0,Egara,,,Egara
71.0,Elimona,,,Elimona
72.0,Emily,Boll,Em,Emily Boll Em | Emily Boll | Emily Em | Boll Em | Emily | Boll | Em
73.0,Empie,,,Empie
74.0,Esrella,,,Esrella
75.0,Evan,,,Evan
76.0,Evelene,,,Evelene
77.0,Falga,,,Falga
78.0,Famira,,,Famira
79.0,Fanna,,,Fanna
80.0,Faselly,,,Faselly
81.0,Felena,,,Felena
