NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
A. C.,Sopers,,,,,940.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A’dan,,,Tigrath,vert,HOMME,270.0,,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,28
A’murry,,,Granth,vert,HOMME,271.0,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
Abula,,,,,FEMME,2.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Abuna,,,,,FEMME,3.0,,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,23
Adessa,,,,,FEMME,4.0,True,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Adrea,Beljeth,,,,FEMME,5.0,,0,4,0,0,0,5,0,0,0,0,0,0,0,2,11,22
Afnor,,,,,HOMME,272.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
Aida,,,,,FEMME,6.0,,7,4,2,6,1,14,5,1,4,4,1,5,5,8,1,68
Aisling,Hempenstahl,,,,,941.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Albuna,,,,,,942.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Alda,,,,,FEMME,7.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Aleki,,,,,HOMME,273.0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Alemi,,,,,HOMME,274.0,,0,435,0,0,0,12,0,0,0,97,2,0,0,21,0,567
Alemi,Onclemi,Lemi,,,HOMME,275.0,,0,465,0,0,0,12,0,0,0,97,2,0,0,21,0,597
Alessan,,,,,HOMME,276.0,,0,0,0,595,150,0,0,0,0,0,0,0,0,0,0,745
Alianne,Zulueta,,,,FEMME,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aliena,Zuleita,,,,FEMME,9.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Almie,,,,,FEMME,10.0,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Amiana,,,,,FEMME,11.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amilla,,,,,FEMME,12.0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Ampris,,,,,HOMME,277.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Anama,,,,,FEMME,13.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Anchoran,,,,,HOMME,278.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Andemon,,,,,HOMME,279.0,,0,1,0,0,0,0,0,0,50,0,0,0,3,0,0,54
Ander,,,,,,943.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Andremon,,,,,HOMME,280.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anella,,,,,FEMME,14.0,,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,51
Anguille,,,,,HOMME,281.0,,2,0,0,0,0,0,133,0,0,0,0,0,0,0,0,135
Anskono,,,,,HOMME,282.0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Anta,,,,,,944.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Aramina,Mina,Ara,,,FEMME,15.0,,0,81,0,0,0,185,0,0,0,0,0,0,0,11,1,278
Aranya,,,,,FEMME,16.0,,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,13
Armald,,,,,HOMME,283.0,True,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25
Arminet,,,,,HOMME,284.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
Armor,,,,,HOMME,285.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Arnor,,,,,HOMME,286.0,,0,0,0,0,0,3,0,0,0,0,12,3,2,7,0,27
Arthied,Desi,,,,HOMME,287.0,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Asgenar,,,Rial,brun,HOMME,288.0,,0,6,0,0,0,123,0,0,89,0,1,0,4,45,2,270
Ashmichel,,,,,HOMME,289.0,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Athpathis,,,,,HOMME,290.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Audiva,,,,,FEMME,17.0,,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78
Avril,Bitra,,,,FEMME,18.0,,194,0,145,4,1,19,2,6,8,0,1,1,0,22,7,410
Azury,,,,,HOMME,291.0,,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39
B’dor,,,,,HOMME,292.0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
B’fol,,,Gereth,vert,,945.0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
B’greal,,,,,,946.0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
B’lerion,,,Nadeth,bronze,HOMME,293.0,,0,0,0,115,23,0,0,0,0,0,0,0,0,0,0,138
B’naj,,,Seventh,brun,HOMME,294.0,,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13
B’ner,,,Miginth,,HOMME,295.0,True,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
B’nurrin,,,,,HOMME,296.0,,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32
B’rant,,,Fanth,brun,HOMME,297.0,,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,6
B’refli,,,Joruth,brun,,947.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B’zon,,,Ranilth,bronze,HOMME,298.0,,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,14
Bahka,,,,,HOMME,299.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Baid,,,,,HOMME,300.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Baldor,,,,,HOMME,301.0,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8
Balfor,,,,,HOMME,302.0,,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,12
Ballora,,,,,FEMME,19.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
Bana,,,,,FEMME,20.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banak,,,,,HOMME,303.0,,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11
Bandarek,,,,,,948.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Banger,,,,,HOMME,304.0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Bantur,,,,,HOMME,305.0,,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,9
Barba,,,,,FEMME,21.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Bardie,,,,,FEMME,22.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bargen,,,,,HOMME,306.0,,0,1,0,0,0,0,14,1,2,0,0,3,0,13,16,50
Barla,,,,,FEMME,23.0,,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,30
Barly,,,,,HOMME,307.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Barndy,,,,,HOMME,308.0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
Barr,Hamil,,,,FEMME,24.0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Bart,Lemos,,,,HOMME,309.0,,43,1,0,6,2,31,2,4,54,0,1,0,1,13,3,161
Basil,,,,,HOMME,310.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bastom,,,,,HOMME,311.0,,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21
Batim,,,,,HOMME,312.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
Batunon,,,,,HOMME,313.0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Bay,Harkenon,,Mariah,reine,FEMME,25.0,,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
Becky,Nielsen,,,,HOMME,314.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bedda,,,,,FEMME,26.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
