NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences,,,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,tot,,
Kenjo,Fusaiyuki,,,,Cyborg,1.0,True,175,0,0,0,0,0,0,0,0,0,0,0,0,2,11,188,,tot f,2324,530,926,2092,466,1282,1327,932,1517,1063,1570,505,1233,1193,1402,18362,,
Menolly,Nolly,Monolly,Beauté,reine,FEMME,168.0,,0,146,0,0,0,30,0,0,0,610,995,303,323,121,26,2554,,tot h,3899,2817,3136,3173,684,4195,5326,2229,4277,769,1716,2145,4511,5253,3800,47930,,!!! ranger en tri croissant pour que ça marche
Lessa,,,Ramoth,reine,FEMME,138.0,,0,82,0,0,0,120,14,674,440,45,3,20,309,353,292,2352,,tot na,50,23,50,35,21,35,21,23,42,7,15,14,18,33,58,445,,
Moreta,Moretta,,Orlith,reine,FEMME,179.0,True,0,0,0,1118,41,0,3,7,1,0,8,0,0,0,3,1181,,,,,,,,,,,,,,,,,,,,
Sharra,Sharrie,,,,FEMME,226.0,,0,3,0,0,0,150,0,0,0,0,0,34,234,279,86,786,,Dix persos les plus importants par tome,,,,,,,,,,,,,,,,,tot f,tot h
Brekke,Brekker,,Berd,bronze,FEMME,37.0,,0,0,0,0,0,16,0,0,375,37,16,7,165,10,6,632,,1,HOMME,HOMME,HOMME,FEMME,HOMME,HOMME,HOMME,HOMME,HOMME,FEMME,FEMME,HOMME,HOMME,HOMME,HOMME,HOMME,3,12
Mirrim,,,Path,vert,FEMME,177.0,,0,50,0,0,0,2,0,0,56,108,4,39,79,84,89,511,,2,HOMME,HOMME,HOMME,HOMME,FEMME,HOMME,HOMME,FEMME,HOMME,HOMME,HOMME,HOMME,HOMME,HOMME,FEMME,HOMME,3,12
Tai,,,Zaranth,vert,FEMME,248.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,478,,3,FEMME,HOMME,HOMME,HOMME,FEMME,HOMME,FEMME,HOMME,FEMME,FEMME,FEMME,FEMME,HOMME,HOMME,FEMME,HOMME,8,7
Sorka,,,Faranth,,FEMME,239.0,,435,0,2,0,0,0,0,0,0,0,0,0,0,2,0,439,,4,HOMME,HOMME,HOMME,FEMME,FEMME,FEMME,HOMME,HOMME,FEMME,HOMME,HOMME,HOMME,FEMME,HOMME,HOMME,FEMME,5,10
Avril,Bitra,,,,FEMME,18.0,,194,0,145,4,1,19,2,6,8,0,1,1,0,22,7,410,,5,FEMME,FEMME,FEMME,HOMME,HOMME,HOMME,HOMME,HOMME,HOMME,HOMME,HOMME,HOMME,FEMME,FEMME,HOMME,FEMME,5,10
Emily,Boll,Em,,,FEMME,72.0,,245,6,10,14,5,10,13,3,22,0,5,1,4,7,31,376,,6,FEMME,HOMME,FEMME,HOMME,FEMME,FEMME,HOMME,HOMME,FEMME,HOMME,HOMME,HOMME,HOMME,FEMME,HOMME,HOMME,6,9
Silvina,,,,,FEMME,232.0,,0,0,0,0,0,1,44,0,0,0,220,74,5,0,0,344,,7,HOMME,HOMME,HOMME,FEMME,HOMME,FEMME,FEMME,HOMME,HOMME,FEMME,HOMME,HOMME,FEMME,HOMME,HOMME,HOMME,5,10
Merelan,,,,,FEMME,170.0,True,0,0,0,0,0,0,337,0,0,0,2,0,0,0,0,339,,8,FEMME,FEMME,FEMME,HOMME,HOMME,HOMME,HOMME,FEMME,HOMME,HOMME,FEMME,FEMME,HOMME,HOMME,HOMME,FEMME,6,9
Jancis,,,,,FEMME,106.0,,0,2,0,0,0,138,0,0,0,0,0,0,0,176,10,326,,9,FEMME,FEMME,HOMME,HOMME,FEMME,FEMME,HOMME,FEMME,HOMME,FEMME,FEMME,HOMME,HOMME,FEMME,HOMME,HOMME,8,7
Leri,,,Holth,reine,FEMME,137.0,,0,0,0,306,13,0,0,0,0,0,0,0,0,0,0,319,,10,HOMME,HOMME,HOMME,HOMME,HOMME,HOMME,HOMME,HOMME,FEMME,FEMME,FEMME,HOMME,HOMME,HOMME,HOMME,HOMME,3,12
Thella,,,,,FEMME,1036.0,True,0,2,0,0,0,315,1,0,0,0,0,0,0,0,0,318,,tot f,5,3,3,3,5,4,2,3,4,5,5,2,3,3,2,3,,
Sallah ,Telgar-Andiyar,,,,FEMME,217.0,True,294,0,0,0,0,1,0,0,0,0,0,0,0,22,0,317,,tot h,5,7,7,7,5,6,8,7,6,5,5,8,7,7,8,7,,
Kylara,,,Pridith,or,FEMME,131.0,,0,0,0,0,0,4,0,38,230,5,0,3,6,0,0,286,,,,,,,,,,,,,,,,,,,,
Aramina,Mina,Ara,,,FEMME,15.0,,0,81,0,0,0,185,0,0,0,0,0,0,0,11,1,278,,,,,,,,,,,,,,,,,,,,
Manora,,,,,FEMME,155.0,,0,0,0,0,0,0,9,60,72,50,6,2,5,4,34,242,,Diversité des noms des dix premiers personnages,,,,,,,,,,,,,,,,,,
T’bor,,,Orth,bronze,FEMME,247.0,,0,7,0,0,0,2,0,25,180,1,0,7,3,2,0,227,,,Sean,Readis,Iantine,Moreta,Alessan,Jayge,Robinton,F’lar,F’lar,Menolly,Menolly,Paul,Jaxom,Jaxom,F’lessan,Robinton,,
Sabra,Ongola,Stein,Fancy,lézard ,FEMME,212.0,,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,,,Paul,T’lion,Chalkin,Alessan,Rill,Piemur,F’lon,Lessa,F’nor,Elgion,Piemur,Sebell,Robinton,Robinton,Tai,Jaxom,,
Desdra,,,,,FEMME,62.0,,0,0,0,141,70,0,0,0,0,0,0,0,0,0,0,211,,,Sorka,Alemi,K’vin,Capiam,Oklina,Toric,Merelan,Fax,Lessa,Mirrim,Silvina,Menolly,F’lar,Piemur,Lessa,F’lar,,
Bay,Harkenon,,Mariah,reine,FEMME,25.0,,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,,,Paul,Jayge,Paulin,Leri,Desdra,Thella,F’lon,F’nor,Brekke,Yanus,Sebell,Meron,Menolly,F’lar,F’lar,Menolly,,
Kasia,,,,,FEMME,119.0,True,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,198,,,Sallah ,Menolly,Zulaya,Sh’gall,Capiam,Robinton,Petiron,R’gul,Jaxom,T’gellan,Domick,Robinton,Lessa,Lessa,Tagetarl,Lessa,,
Zulaya,,,Meranath,reine,FEMME,269.0,,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,178,,,Emily,Toric,Debera,K’lon ,Anella,Aramina,Fax,Pierre,Kylara,Alemi,Robinton,Toric,L’tol,Sharra,Mekelroy,Piemur,,
Oklina,,,Hannath,reine,FEMME,195.0,,0,0,0,100,72,0,0,0,0,0,0,0,0,0,0,172,,,Pol ,Persellan,Clisser,Desdra,Tolocamp,Sharra,Kasia,L’tol,Paul,Mavi,Camo,Dirzan,Sharra,L’tol,Toric,Paul,,
Debera,Deb,,Morath,,FEMME,59.0,,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,172,,,Sabra,Lessa,Avril,Tolocamp,Tuero,Paul,Gennell,Manora,Robinton,Petiron,Dunca,Silvina,N’ton,Fandarel,Sebell,Moreta,,
Rill,Nerilka,,,,FEMME,209.0,,0,0,0,38,89,0,0,0,0,11,0,0,0,0,0,138,,,Bay,Aramina,M’shall,B’lerion,Moreta,Jancis,Anguille,Gemma,T’ron,Manora,Audiva,Nabhi,Piemur,Jancis,Erragon,F’nor,,
Mary,Tubberman,,,,FEMME,163.0,,108,0,4,0,0,0,0,0,0,0,0,0,0,0,3,115,,,Zi,Idarolan,P’tero,Tirone,Campen,Jaxom,Paul,Robinton,T’bor,Sella,Pona,Oldive,Toric,Sebell,Paul,Toric,,
