Id unique,aliases,phrase,sentence_id,book,mots_cibles,alias_trouves_dans_phrase
1.0,Kenjo Fusaiyuki | Fusaiyuki | Kenjo,"Elle parlait avec douceur, sachant que Kenjo avait plusieurs fois frôlé la mort pendant la guerre de Nathi.",770,1.0,mort,kenjo
1.0,Kenjo Fusaiyuki | Fusaiyuki | Kenjo,"— Kenjo est mort et Ongola grièvement blessé, dit Paul.",6063,1.0,mort,kenjo
1.0,Kenjo Fusaiyuki | Fusaiyuki | Kenjo,"Au Terminus, la mort de Kenjo et l’état grave d’Ongola étaient connus de tous, mais on n’avait rien annoncé officiellement.",6554,1.0,mort,kenjo
1.0,Kenjo Fusaiyuki | Fusaiyuki | Kenjo,"J’ai trouvé ses initiales à plusieurs endroits du fortin, et pourtant le journal qu’Ita Fusaiyuki a tenu pendant plusieurs mois après la mort de Kenjo ne parle pas de lui.",120411,15.0,mort,fusaiyuki | kenjo
4.0,Adessa,Ne me dis pas que cette chère Dame Adessa est morte.,60657,7.0,mourir,adessa
14.0,Anella,— Tolocamp a mis Anella dans son lit une heure après avoir appris la mort de ma mère.,39884,5.0,mort,anella
15.0,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara,"Furieuse qu’on ait laissé croire à Benden qu’Aramina était morte, Lessa ne demandait quand même pas mieux que d’apprendre ce qu’elle avait dit au Harpiste.",48045,6.0,mourir,aramina
15.0,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara,"Aramina avait été sauvée, et elle vivait saine et sauve dans le Sud, dans le confort et le prestige, tandis qu’elle, Thella, avait failli mourir d’une infection pernicieuse et débilitante qui lui avait laissé d’affreuses cicatrices sur le visage.",48137,6.0,mourir,aramina
15.0,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara,"Il avait souvent assuré à Ara que cette femme devait être morte ou arrêtée, mais il n’avait jamais cru lui-même à ses paroles.",48967,6.0,mort,ara
15.0,Aramina Mina Ara | Aramina Mina | Aramina Ara | Mina Ara | Aramina | Mina | Ara,"— Tous les chiens sont morts, Ara ?",49164,6.0,mort,ara
18.0,Avril Bitra | Avril | Bitra,"Il fait mauvais temps à Bitra, et les gens meurent de froid parce qu’ils ne veulent pas franchir les frontières, annonça M’shall.",22808,3.0,mourir,bitra
18.0,Avril Bitra | Avril | Bitra,Ses gens seraient morts de froid aux frontières de Bitra la nuit dernière !,23216,3.0,mort,bitra
18.0,Avril Bitra | Avril | Bitra,"Et que les coureurs en provenance de Keroon et destinés à Benden, Lemos, Bitra et Nerat soient ou morts de la maladie ou aient été expédiés par voie de terre.",32673,4.0,mort,bitra
19.0,Ballora,"— Parce que nous mourons quand nous sommes usés, dit Ballora avec détachement.",130745,15.0,mourir,ballora
23.0,Barla,"Barla était sincèrement terrifiée, pour elle-même, pour son bébé, pour Dowell, et pour tous ceux qui avaient péri de mort violente.",40355,6.0,mort,barla
25.0,Bay Harkenon | Harkenon | Bay,"Bay savait qu’elle était indulgente, tolérante et compréhensive, mais si Ted Tubberman était mort, elle en serait immensément soulagée.",8991,1.0,mort,bay
