full_name,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15
Thella 1036.0,0.0,3.2536514102952037e-06,0.0,0.0,0.0,0.04898403483309143,4.92892490290018e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varney 914.0,0.0,0.0,0.0,0.0003723701359150996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vander 913.0,0.0,0.0,0.0,0.0053993669707689445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trume 898.0,0.0,0.0,0.0,0.0003723701359150996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ted Tubberman Tubbermann 864.0,0.015014842478215074,0.0,5.0664721141374834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3688629311918235e-05
Tarathel 859.0,0.0,0.0,0.0,0.0,0.0,0.00013143003176225768,0.004990158197856674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Talpan 857.0,0.0,0.0,0.0,0.005957922174641594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T’ron 850.0,0.0,0.0,0.0,0.0,0.0,8.782426364843947e-06,0.0,0.002327336080088518,0.022366211339344685,0.0,0.0,0.00029213342309612907,0.00018534341354378462,1.6737690265694095e-06,0.0
T’kul 840.0,0.0,0.0,0.0,0.0,0.0,0.00039355485784057213,0.0,0.0,0.004399941395161438,0.0,0.0,3.212232180141981e-05,0.0032035000147245044,0.0,0.0
Stev Kimmer 829.0,0.009462478853458457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003427227190687676
S’loner 787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009247648902821317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Runel 779.0,0.0,0.0,0.0,0.003360640476633774,4.058441558441559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robinton Rob Robie 772.0,0.0,0.0001620049955329451,0.0,0.0,0.0,0.002000445987646765,0.13703228031317743,0.00026007076314982794,0.001983147359915216,0.00016877306942442253,0.0018242469258117312,0.0008361548744730794,0.007847117210454266,0.007559274328122941,5.635352923420832e-05
Petiron 738.0,0.0,5.25505097983345e-06,0.0,0.0,0.0,0.0,0.03163136777599298,0.0,0.0,0.006538371230701634,0.0026333575550641355,0.0,0.0,0.0,0.0
Norman 701.0,0.0,0.0,0.0,0.004847461233609064,2.898886827458256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meron 671.0,0.0,0.0,0.0,0.0,0.0,2.6164311878597592e-05,0.0,0.0008388382090804235,0.011145945109542086,0.0,9.109160536201625e-07,0.011469635555870224,2.8848008856338716e-05,4.070560727881387e-07,0.0
Matsen 663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Galliani 660.0,0.004021832806664752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maidir 653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007210031347962382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M’odon 641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006269592476489029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L’mal 608.0,0.0,0.0,0.0,0.003723701359150996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kale 589.0,0.0,0.0,0.0,0.0,0.0,8.66128944946679e-05,0.0033780131877634845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K’dall 580.0,0.0,0.0,0.0,0.0001861850679575498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
